station,year,raw_rows,clean_rows,duplicates_removed,pm25_valid,pm25_missing_percent,pm10_valid,pm10_missing_percent,date_start,date_end,columns_available
North_Campus_DU,2024,8784,8784,0,8503,3.2,8533,2.86,2024-01-01,2024-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
North_Campus_DU,2025,8760,8760,0,8603,1.79,8615,1.66,2025-01-01,2025-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
NSIT_Dwarka,2022,8760,8760,0,8324,4.98,8175,6.68,2022-01-01,2022-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
NSIT_Dwarka,2023,8760,8760,0,8320,5.02,8285,5.42,2023-01-01,2023-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
NSIT_Dwarka,2024,8784,8784,0,8437,3.95,8436,3.96,2024-01-01,2024-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
NSIT_Dwarka,2025,8760,8760,0,8374,4.41,8176,6.67,2025-01-01,2025-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
NSUT_Jaffarpur,2025,8760,8760,0,0,100.0,0,100.0,2025-01-01,2025-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Okhla_Phase-2,2022,8760,8760,0,8683,0.88,8640,1.37,2022-01-01,2022-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Okhla_Phase-2,2023,8760,8760,0,8485,3.14,8446,3.58,2023-01-01,2023-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Okhla_Phase-2,2024,8784,8784,0,8681,1.17,8627,1.79,2024-01-01,2024-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Okhla_Phase-2,2025,8760,8760,0,8497,3.0,8428,3.79,2025-01-01,2025-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Patparganj,2022,8760,8760,0,8480,3.2,8548,2.42,2022-01-01,2022-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Patparganj,2023,8760,8760,0,8156,6.89,8519,2.75,2023-01-01,2023-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
Patparganj,2024,8784,8784,0,8621,1.86,8614,1.94,2024-01-01,2024-12-31 23:00:00,Timestamp;PM2.5;PM10;NO;NO2;NOx;NH3;SO2;CO;Ozone;Benzene;Toluene;Xylene;O Xylene;Eth-Benzene;MP-Xylene;AT;RH;WS;WD;RF;TOT-RF;SR;BP;VWS;station;year
