station,year,status,file_path,file_size_bytes,row_count,column_count,duplicate_rows
IGNOU_Maidan_Garhi,2022,MISSING_CSV,,0,0,0,0
IGNOU_Maidan_Garhi,2023,MISSING_CSV,,0,0,0,0
IGNOU_Maidan_Garhi,2024,MISSING_CSV,,0,0,0,0
IGNOU_Maidan_Garhi,2025,available,data\raw\CPCB\IGNOU_Maidan_Garhi\2025\2025_hourly.csv,823773,8760,25,0
IHBAS_Dilshad_Garden,2022,available,data\raw\CPCB\IHBAS_Dilshad_Garden\2022\2022_hourly.csv,1234850,8760,25,0
IHBAS_Dilshad_Garden,2023,available,data\raw\CPCB\IHBAS_Dilshad_Garden\2023\2023_hourly.csv,1743648,8760,25,0
IHBAS_Dilshad_Garden,2024,available,data\raw\CPCB\IHBAS_Dilshad_Garden\2024\2024_hourly.csv,1155261,8784,25,0
IHBAS_Dilshad_Garden,2025,available,data\raw\CPCB\IHBAS_Dilshad_Garden\2025\2025_hourly.csv,1239824,8760,25,0
IIT_Delhi,2022,MISSING_CSV,,0,0,0,0
IIT_Delhi,2023,MISSING_CSV,,0,0,0,0
IIT_Delhi,2024,MISSING_CSV,,0,0,0,0
IIT_Delhi,2025,available,data\raw\CPCB\IIT_Delhi\2025\2025_hourly.csv,150258,1464,25,0
IMD_Lodhi_Road,2022,available,data\raw\CPCB\IMD_Lodhi_Road\2022\2022_hourly.csv,1037798,8760,25,0
IMD_Lodhi_Road,2023,available,data\raw\CPCB\IMD_Lodhi_Road\2023\2023_hourly.csv,1000565,8760,25,0
IMD_Lodhi_Road,2024,available,data\raw\CPCB\IMD_Lodhi_Road\2024\2024_hourly.csv,781370,8784,25,0
IMD_Lodhi_Road,2025,available,data\raw\CPCB\IMD_Lodhi_Road\2025\2025_hourly.csv,977135,8760,25,0
ITO,2022,available,data\raw\CPCB\ITO\2022\2022_hourly.csv,1048292,8760,25,0
ITO,2023,available,data\raw\CPCB\ITO\2023\2023_hourly.csv,936649,8760,25,0
ITO,2024,available,data\raw\CPCB\ITO\2024\2024_hourly.csv,787219,8784,25,0
ITO,2025,available,data\raw\CPCB\ITO\2025\2025_hourly.csv,1050084,8760,25,0
Jahangirpuri,2022,available,data\raw\CPCB\Jahangirpuri\2022\2022_hourly.csv,1247251,8760,25,0
Jahangirpuri,2023,available,data\raw\CPCB\Jahangirpuri\2023\2023_hourly.csv,1315659,8760,25,0
Jahangirpuri,2024,available,data\raw\CPCB\Jahangirpuri\2024\2024_hourly.csv,1086228,8784,25,0
Jahangirpuri,2025,available,data\raw\CPCB\Jahangirpuri\2025\2025_hourly.csv,1263181,8760,25,0
Jawaharlal_Nehru_Stadium,2022,available,data\raw\CPCB\Jawaharlal_Nehru_Stadium\2022\2022_hourly.csv,1247724,8760,25,0
Jawaharlal_Nehru_Stadium,2023,available,data\raw\CPCB\Jawaharlal_Nehru_Stadium\2023\2023_hourly.csv,1261000,8760,25,0
Jawaharlal_Nehru_Stadium,2024,available,data\raw\CPCB\Jawaharlal_Nehru_Stadium\2024\2024_hourly.csv,1083707,8784,25,0
Jawaharlal_Nehru_Stadium,2025,available,data\raw\CPCB\Jawaharlal_Nehru_Stadium\2025\2025_hourly.csv,1263161,8760,25,0
JNU,2022,MISSING_CSV,,0,0,0,0
JNU,2023,MISSING_CSV,,0,0,0,0
JNU,2024,MISSING_CSV,,0,0,0,0
JNU,2025,available,data\raw\CPCB\JNU\2025\2025_hourly.csv,823773,8760,25,0
Lodhi_Road,2022,available,data\raw\CPCB\Lodhi_Road\2022\2022_hourly.csv,948616,8760,25,0
Lodhi_Road,2023,available,data\raw\CPCB\Lodhi_Road\2023\2023_hourly.csv,549262,8760,25,0
Lodhi_Road,2024,available,data\raw\CPCB\Lodhi_Road\2024\2024_hourly.csv,662940,8784,25,0
Lodhi_Road,2025,available,data\raw\CPCB\Lodhi_Road\2025\2025_hourly.csv,1023495,8760,25,0
Major_Dhyan_Chand_National_Stadium,2022,available,data\raw\CPCB\Major_Dhyan_Chand_National_Stadium\2022\2022_hourly.csv,1254183,8760,25,0
Major_Dhyan_Chand_National_Stadium,2023,available,data\raw\CPCB\Major_Dhyan_Chand_National_Stadium\2023\2023_hourly.csv,1303012,8760,25,0
Major_Dhyan_Chand_National_Stadium,2024,available,data\raw\CPCB\Major_Dhyan_Chand_National_Stadium\2024\2024_hourly.csv,1094048,8784,25,0
Major_Dhyan_Chand_National_Stadium,2025,available,data\raw\CPCB\Major_Dhyan_Chand_National_Stadium\2025\2025_hourly.csv,1264593,8760,25,0
Mandir_Marg,2022,available,data\raw\CPCB\Mandir_Marg\2022\2022_hourly.csv,1270219,8760,25,0
Mandir_Marg,2023,available,data\raw\CPCB\Mandir_Marg\2023\2023_hourly.csv,1331305,8760,25,0
Mandir_Marg,2024,available,data\raw\CPCB\Mandir_Marg\2024\2024_hourly.csv,1014411,8784,25,0
Mandir_Marg,2025,available,data\raw\CPCB\Mandir_Marg\2025\2025_hourly.csv,1238290,8760,25,0
Mundka,2022,available,data\raw\CPCB\Mundka\2022\2022_hourly.csv,1254736,8760,25,0
Mundka,2023,available,data\raw\CPCB\Mundka\2023\2023_hourly.csv,1300891,8760,25,0
Mundka,2024,available,data\raw\CPCB\Mundka\2024\2024_hourly.csv,1096698,8784,25,0
Mundka,2025,available,data\raw\CPCB\Mundka\2025\2025_hourly.csv,1265174,8760,25,0
Najafgarh,2022,available,data\raw\CPCB\Najafgarh\2022\2022_hourly.csv,1218248,8760,25,0
Najafgarh,2023,available,data\raw\CPCB\Najafgarh\2023\2023_hourly.csv,1280030,8760,25,0
Najafgarh,2024,available,data\raw\CPCB\Najafgarh\2024\2024_hourly.csv,1074487,8784,25,0
Najafgarh,2025,available,data\raw\CPCB\Najafgarh\2025\2025_hourly.csv,1251104,8760,25,0
Narela,2022,available,data\raw\CPCB\Narela\2022\2022_hourly.csv,1267123,8760,25,0
Narela,2023,available,data\raw\CPCB\Narela\2023\2023_hourly.csv,1293623,8760,25,0
Narela,2024,available,data\raw\CPCB\Narela\2024\2024_hourly.csv,1097370,8784,25,0
Narela,2025,available,data\raw\CPCB\Narela\2025\2025_hourly.csv,1270206,8760,25,0
Nehru_Nagar,2022,available,data\raw\CPCB\Nehru_Nagar\2022\2022_hourly.csv,1264749,8760,25,0
Nehru_Nagar,2023,available,data\raw\CPCB\Nehru_Nagar\2023\2023_hourly.csv,1318518,8760,25,0
Nehru_Nagar,2024,available,data\raw\CPCB\Nehru_Nagar\2024\2024_hourly.csv,1095862,8784,25,0
Nehru_Nagar,2025,available,data\raw\CPCB\Nehru_Nagar\2025\2025_hourly.csv,1267827,8760,25,0
North_Campus_DU,2022,available,data\raw\CPCB\North_Campus_DU\2022\2022_hourly.csv,1045706,8760,25,0
North_Campus_DU,2023,available,data\raw\CPCB\North_Campus_DU\2023\2023_hourly.csv,931953,8760,25,0
North_Campus_DU,2024,available,data\raw\CPCB\North_Campus_DU\2024\2024_hourly.csv,785695,8784,25,0
North_Campus_DU,2025,available,data\raw\CPCB\North_Campus_DU\2025\2025_hourly.csv,1022378,8760,25,0
NSIT_Dwarka,2022,available,data\raw\CPCB\NSIT_Dwarka\2022\2022_hourly.csv,1217778,8760,25,0
NSIT_Dwarka,2023,available,data\raw\CPCB\NSIT_Dwarka\2023\2023_hourly.csv,1652673,8760,25,0
NSIT_Dwarka,2024,available,data\raw\CPCB\NSIT_Dwarka\2024\2024_hourly.csv,1100438,8784,25,0
NSIT_Dwarka,2025,available,data\raw\CPCB\NSIT_Dwarka\2025\2025_hourly.csv,1217869,8760,25,0
NSUT_Jaffarpur,2022,MISSING_CSV,,0,0,0,0
NSUT_Jaffarpur,2023,MISSING_CSV,,0,0,0,0
NSUT_Jaffarpur,2024,MISSING_CSV,,0,0,0,0
NSUT_Jaffarpur,2025,available,data\raw\CPCB\NSUT_Jaffarpur\2025\2025_hourly.csv,823773,8760,25,0
Okhla_Phase-2,2022,available,data\raw\CPCB\Okhla_Phase-2\2022\2022_hourly.csv,1272266,8760,25,0
Okhla_Phase-2,2023,available,data\raw\CPCB\Okhla_Phase-2\2023\2023_hourly.csv,1298544,8760,25,0
Okhla_Phase-2,2024,available,data\raw\CPCB\Okhla_Phase-2\2024\2024_hourly.csv,1105453,8784,25,0
Okhla_Phase-2,2025,available,data\raw\CPCB\Okhla_Phase-2\2025\2025_hourly.csv,1257365,8760,25,0
