station,year,status,timestamp_found,pm25_found,pm10_found,column_count,missing_expected_columns,extra_columns
IIT_Delhi,2023,MISSING_CSV,False,False,False,0,Timestamp; PM2.5; PM10; NO; NO2; NOx; NH3; SO2; CO; Ozone; Benzene; Toluene; Xylene; O Xylene; Eth-Benzene; MP-Xylene; AT; RH; WS; WD; RF; TOT-RF; SR; BP; VWS,
IIT_Delhi,2024,MISSING_CSV,False,False,False,0,Timestamp; PM2.5; PM10; NO; NO2; NOx; NH3; SO2; CO; Ozone; Benzene; Toluene; Xylene; O Xylene; Eth-Benzene; MP-Xylene; AT; RH; WS; WD; RF; TOT-RF; SR; BP; VWS,
IIT_Delhi,2025,available,True,True,True,25,,
IMD_Lodhi_Road,2022,available,True,True,True,25,,
IMD_Lodhi_Road,2023,available,True,True,True,25,,
IMD_Lodhi_Road,2024,available,True,True,True,25,,
IMD_Lodhi_Road,2025,available,True,True,True,25,,
ITO,2022,available,True,True,True,25,,
ITO,2023,available,True,True,True,25,,
ITO,2024,available,True,True,True,25,,
ITO,2025,available,True,True,True,25,,
Jahangirpuri,2022,available,True,True,True,25,,
Jahangirpuri,2023,available,True,True,True,25,,
Jahangirpuri,2024,available,True,True,True,25,,
Jahangirpuri,2025,available,True,True,True,25,,
Jawaharlal_Nehru_Stadium,2022,available,True,True,True,25,,
Jawaharlal_Nehru_Stadium,2023,available,True,True,True,25,,
Jawaharlal_Nehru_Stadium,2024,available,True,True,True,25,,
Jawaharlal_Nehru_Stadium,2025,available,True,True,True,25,,
JNU,2022,MISSING_CSV,False,False,False,0,Timestamp; PM2.5; PM10; NO; NO2; NOx; NH3; SO2; CO; Ozone; Benzene; Toluene; Xylene; O Xylene; Eth-Benzene; MP-Xylene; AT; RH; WS; WD; RF; TOT-RF; SR; BP; VWS,
JNU,2023,MISSING_CSV,False,False,False,0,Timestamp; PM2.5; PM10; NO; NO2; NOx; NH3; SO2; CO; Ozone; Benzene; Toluene; Xylene; O Xylene; Eth-Benzene; MP-Xylene; AT; RH; WS; WD; RF; TOT-RF; SR; BP; VWS,
JNU,2024,MISSING_CSV,False,False,False,0,Timestamp; PM2.5; PM10; NO; NO2; NOx; NH3; SO2; CO; Ozone; Benzene; Toluene; Xylene; O Xylene; Eth-Benzene; MP-Xylene; AT; RH; WS; WD; RF; TOT-RF; SR; BP; VWS,
JNU,2025,available,True,True,True,25,,
Lodhi_Road,2022,available,True,True,True,25,,
Lodhi_Road,2023,available,True,True,True,25,,
Lodhi_Road,2024,available,True,True,True,25,,
Lodhi_Road,2025,available,True,True,True,25,,
Major_Dhyan_Chand_National_Stadium,2022,available,True,True,True,25,,
Major_Dhyan_Chand_National_Stadium,2023,available,True,True,True,25,,
Major_Dhyan_Chand_National_Stadium,2024,available,True,True,True,25,,
Major_Dhyan_Chand_National_Stadium,2025,available,True,True,True,25,,
Mandir_Marg,2022,available,True,True,True,25,,
Mandir_Marg,2023,available,True,True,True,25,,
Mandir_Marg,2024,available,True,True,True,25,,
Mandir_Marg,2025,available,True,True,True,25,,
Mundka,2022,available,True,True,True,25,,
Mundka,2023,available,True,True,True,25,,
Mundka,2024,available,True,True,True,25,,
Mundka,2025,available,True,True,True,25,,
Najafgarh,2022,available,True,True,True,25,,
Najafgarh,2023,available,True,True,True,25,,
Najafgarh,2024,available,True,True,True,25,,
Najafgarh,2025,available,True,True,True,25,,
Narela,2022,available,True,True,True,25,,
Narela,2023,available,True,True,True,25,,
Narela,2024,available,True,True,True,25,,
Narela,2025,available,True,True,True,25,,
Nehru_Nagar,2022,available,True,True,True,25,,
Nehru_Nagar,2023,available,True,True,True,25,,
Nehru_Nagar,2024,available,True,True,True,25,,
Nehru_Nagar,2025,available,True,True,True,25,,
North_Campus_DU,2022,available,True,True,True,25,,
North_Campus_DU,2023,available,True,True,True,25,,
North_Campus_DU,2024,available,True,True,True,25,,
North_Campus_DU,2025,available,True,True,True,25,,
NSIT_Dwarka,2022,available,True,True,True,25,,
NSIT_Dwarka,2023,available,True,True,True,25,,
NSIT_Dwarka,2024,available,True,True,True,25,,
NSIT_Dwarka,2025,available,True,True,True,25,,
NSUT_Jaffarpur,2022,MISSING_CSV,False,False,False,0,Timestamp; PM2.5; PM10; NO; NO2; NOx; NH3; SO2; CO; Ozone; Benzene; Toluene; Xylene; O Xylene; Eth-Benzene; MP-Xylene; AT; RH; WS; WD; RF; TOT-RF; SR; BP; VWS,
NSUT_Jaffarpur,2023,MISSING_CSV,False,False,False,0,Timestamp; PM2.5; PM10; NO; NO2; NOx; NH3; SO2; CO; Ozone; Benzene; Toluene; Xylene; O Xylene; Eth-Benzene; MP-Xylene; AT; RH; WS; WD; RF; TOT-RF; SR; BP; VWS,
NSUT_Jaffarpur,2024,MISSING_CSV,False,False,False,0,Timestamp; PM2.5; PM10; NO; NO2; NOx; NH3; SO2; CO; Ozone; Benzene; Toluene; Xylene; O Xylene; Eth-Benzene; MP-Xylene; AT; RH; WS; WD; RF; TOT-RF; SR; BP; VWS,
NSUT_Jaffarpur,2025,available,True,True,True,25,,
Okhla_Phase-2,2022,available,True,True,True,25,,
Okhla_Phase-2,2023,available,True,True,True,25,,
Okhla_Phase-2,2024,available,True,True,True,25,,
Okhla_Phase-2,2025,available,True,True,True,25,,
Patparganj,2022,available,True,True,True,25,,
Patparganj,2023,available,True,True,True,25,,
Patparganj,2024,available,True,True,True,25,,
Patparganj,2025,available,True,True,True,25,,
Punjabi_Bagh,2022,available,True,True,True,25,,
Punjabi_Bagh,2023,available,True,True,True,25,,
Punjabi_Bagh,2024,available,True,True,True,25,,
Punjabi_Bagh,2025,available,True,True,True,25,,
Pusa,2022,available,True,True,True,25,,
Pusa,2023,available,True,True,True,25,,
Pusa,2024,available,True,True,True,25,,
Pusa,2025,available,True,True,True,25,,
R_K_Puram,2022,available,True,True,True,25,,
R_K_Puram,2023,available,True,True,True,25,,
R_K_Puram,2024,available,True,True,True,25,,
R_K_Puram,2025,available,True,True,True,25,,
Rohini,2022,available,True,True,True,25,,
Rohini,2023,available,True,True,True,25,,
Rohini,2024,available,True,True,True,25,,
Rohini,2025,available,True,True,True,25,,
Shadipur,2022,available,True,True,True,25,,
Shadipur,2023,available,True,True,True,25,,
Shadipur,2024,available,True,True,True,25,,
Shadipur,2025,available,True,True,True,25,,
Sirifort,2022,available,True,True,True,25,,
Sirifort,2023,available,True,True,True,25,,
Sirifort,2024,available,True,True,True,25,,
Sirifort,2025,available,True,True,True,25,,
Sonia_Vihar,2022,available,True,True,True,25,,
Sonia_Vihar,2023,available,True,True,True,25,,
Sonia_Vihar,2024,available,True,True,True,25,,
Sonia_Vihar,2025,available,True,True,True,25,,
Sri_Aurobindo_Marg,2022,available,True,True,True,25,,
Sri_Aurobindo_Marg,2023,available,True,True,True,25,,
Sri_Aurobindo_Marg,2024,available,True,True,True,25,,
Sri_Aurobindo_Marg,2025,available,True,True,True,25,,
Talkatora_Garden,2022,MISSING_CSV,False,False,False,0,Timestamp; PM2.5; PM10; NO; NO2; NOx; NH3; SO2; CO; Ozone; Benzene; Toluene; Xylene; O Xylene; Eth-Benzene; MP-Xylene; AT; RH; WS; WD; RF; TOT-RF; SR; BP; VWS,
Talkatora_Garden,2023,MISSING_CSV,False,False,False,0,Timestamp; PM2.5; PM10; NO; NO2; NOx; NH3; SO2; CO; Ozone; Benzene; Toluene; Xylene; O Xylene; Eth-Benzene; MP-Xylene; AT; RH; WS; WD; RF; TOT-RF; SR; BP; VWS,
Talkatora_Garden,2024,MISSING_CSV,False,False,False,0,Timestamp; PM2.5; PM10; NO; NO2; NOx; NH3; SO2; CO; Ozone; Benzene; Toluene; Xylene; O Xylene; Eth-Benzene; MP-Xylene; AT; RH; WS; WD; RF; TOT-RF; SR; BP; VWS,
Talkatora_Garden,2025,available,True,True,True,25,,
Vivek_Vihar,2022,available,True,True,True,25,,
Vivek_Vihar,2023,available,True,True,True,25,,
Vivek_Vihar,2024,available,True,True,True,25,,
Vivek_Vihar,2025,available,True,True,True,25,,
Wazirpur,2022,available,True,True,True,25,,
Wazirpur,2023,available,True,True,True,25,,
Wazirpur,2024,available,True,True,True,25,,
Wazirpur,2025,available,True,True,True,25,,
