station,year,month,pm25,lag_sentinel2_ndvi_mean_500m,time_holdout_year,y_prediction,t_prediction,y_residual,t_residual,orthogonal_score,treatment
Alipur,2023,1,155.76,0.3925852042972145,2023,103.53297814356712,0.44933166369320526,52.22702185643287,-0.05674645939599077,-2.96369857514959,sentinel2_ndvi_mean_500m
Alipur,2023,2,121.24,0.4823952645613105,2023,123.86130145438744,0.5101578019942713,-2.6213014543874493,-0.02776253743296081,0.07277397975050617,sentinel2_ndvi_mean_500m
Alipur,2023,3,80.09,0.5182623589759378,2023,141.10264218956348,0.495674266682019,-61.01264218956348,0.022588092293918727,-1.3781591928736994,sentinel2_ndvi_mean_500m
Alipur,2023,4,76.69,0.4249512489603779,2023,121.24548626316107,0.4594067308607777,-44.55548626316107,-0.03445548190039982,1.535180750503859,sentinel2_ndvi_mean_500m
Alipur,2023,5,67.45,0.3472359938321067,2023,112.7693223144515,0.404391277770721,-45.3193223144515,-0.0571552839386143,2.590238734788054,sentinel2_ndvi_mean_500m
Alipur,2023,8,35.82,0.2546485927283666,2023,100.0925127079296,0.37903330724567375,-64.2725127079296,-0.12438471451730715,7.994518144485818,sentinel2_ndvi_mean_500m
Alipur,2023,9,35.55,0.5048414717219822,2023,94.120412050108,0.4511999814805085,-58.570412050108004,0.053641490241473744,-3.141804186424965,sentinel2_ndvi_mean_500m
Alipur,2023,10,94.49,0.502312344945745,2023,122.01642975098453,0.46713777714806204,-27.526429750984533,0.03517456779768291,-0.9682302695041614,sentinel2_ndvi_mean_500m
Alipur,2023,11,228.48,0.3828610468432031,2023,180.76749897697482,0.4613948318276916,47.71250102302517,-0.07853378498448849,-3.7470432964144456,sentinel2_ndvi_mean_500m
Alipur,2023,12,198.96,0.2864574153152662,2023,167.0617104029127,0.43037422166917605,31.898289597087313,-0.14391680635390985,-4.590699966964952,sentinel2_ndvi_mean_500m
Alipur,2024,1,167.47,0.4066072976037937,2024,180.91351192337333,0.3086374332087909,-13.443511923373336,0.09796986439500283,-1.3170590401254894,sentinel2_ndvi_mean_500m
Alipur,2024,4,65.78,0.4896465457904704,2024,95.07119983010999,0.43967456662525395,-29.29119983010999,0.04997197916521645,-1.463739227634448,sentinel2_ndvi_mean_500m
