treatment,theta,se,ci_low,ci_high,effect_per_treatment_sd,treatment_mean,treatment_sd,treatment_min,treatment_max,y_rmse,y_mae,y_r2,t_rmse,t_mae,t_r2,t_residual_sd,y_residual_sd,n,n_stations,n_folds,n_test,n_test_stations,theta_external_test_diagnostic,outcome_nuisance_rmse_test,treatment_nuisance_rmse_test,test_t_residual_sd
sentinel2_ndvi_mean_1000m,-21.18037325635722,5.848786289143157,-32.64399438307781,-9.716752129636633,-2.41948145048302,0.3060173753214924,0.11423223855400284,0.0089344355006265,0.7275488987581067,25.05498926419253,16.130005861024838,0.8601111344283372,0.0833606204167711,0.0639945465365818,0.4670569871274134,0.08333872985310971,25.030934288884247,1292,35,5,323,34,-25.41508370494424,18.37155470892461,0.02647342156426273,0.026314450850179236
sentinel2_ndvi_mean_500m,-7.046747700171218,4.651391660809227,-16.163475355357303,2.069979955014868,-0.8817347363821909,0.29998319815354935,0.12512648017194755,-0.037961036075836,0.7339452830675577,25.05498926419253,16.130005861024838,0.8601111344283372,0.11258924746556292,0.07934629227371637,0.18972647638082818,0.1105661567881275,25.030934288884247,1292,35,5,323,34,-27.352184743134384,18.37155470892461,0.03206316006193066,0.03179700403194795
modis_ndvi_mean_1000m,-17.61821736614033,6.574982325530092,-30.505182724179306,-4.7312520081013485,-1.905901024559343,0.36182694204218935,0.10817785846042573,0.1122996682570449,0.768497770423271,25.05498926419253,16.130005861024838,0.8601111344283372,0.07789263828920438,0.059431273686778203,0.4811374328964322,0.07789115735479898,25.030934288884247,1292,35,5,323,34,-19.953419905790266,18.37155470892461,0.03358481949513822,0.03356169190054365
