station,year,month,pm25,sentinel2_ndvi_mean_1000m,fold,y_hat_oof,t_hat_oof,y_residual,t_residual,orthogonal_score
Alipur,2022,1,128.79,0.5450644381540622,2,158.53373999092193,0.4159427070547453,-29.743739990921938,0.12912173109931696,-3.4874350877651836
Alipur,2022,2,103.96,0.5154447396880407,2,100.60309753737626,0.43129179138636525,3.3569024626237365,0.08415294830167547,0.43248668492003944
Alipur,2022,3,108.41,0.4736578698388993,2,102.70180677772981,0.41661131595084405,5.708193222270182,0.05704655388805524,0.39456023814575525
Alipur,2022,4,127.27,0.2682884280193102,2,133.39894553877718,0.3685980141435448,-6.128945538777188,-0.10030958612423463,0.827909182872093
Alipur,2022,6,61.81,0.2336080548344577,2,69.96221807026201,0.4075639131877768,-8.152218070262009,-0.1739558583533191,2.059057755954584
Alipur,2022,7,33.32,0.291282641372673,2,38.896402467280794,0.42573010873907957,-5.5764024672807935,-0.13444746736640656,1.1325921887416237
Alipur,2022,8,31.47,0.4510700735839226,2,36.69988101213468,0.49871191784565466,-5.229881012134683,-0.04764184426173207,0.2972352298606624
Alipur,2022,10,113.09,0.4286757698917767,2,106.34499349178428,0.4753306550632491,6.745006508215724,-0.04665488517147243,-0.2685846450491276
Alipur,2022,11,211.13,0.232791164352193,2,171.95312559003372,0.39233320128083987,39.176874409966274,-0.15954203692864688,-5.711240291550116
Alipur,2022,12,182.23,0.3106899427373614,2,159.32615145528447,0.4178770245941583,22.903848544715515,-0.10718708185679693,-2.211653886879947
Alipur,2023,1,155.76,0.4317970786074115,2,162.1426705313857,0.34047559793459137,-6.382670531385713,0.09132148067282014,-0.4062388109718014
Alipur,2023,2,121.24,0.5009788194805853,2,102.58579175182763,0.3989288463447655,18.654208248172367,0.10204997313581982,2.1242380305817368
Alipur,2023,3,80.09,0.4205413084965412,2,88.63234527189456,0.4123611852213586,-8.542345271894561,0.008180123275182583,-0.06846016505927478
Alipur,2023,4,76.69,0.3172882161420013,2,83.10378600630116,0.39983435123454847,-6.413786006301166,-0.08254613509254716,0.6737534378374631
Alipur,2023,5,67.45,0.3175647903418975,2,74.44258843770113,0.42122108686379606,-6.99258843770113,-0.10365629652189856,0.9524010480414887
Alipur,2023,7,32.34,0.2733921853175042,2,34.52820103978694,0.3790265898757644,-2.1882010397869394,-0.10563440455826018,0.46749320781097364
Alipur,2023,8,35.82,0.4737276951681466,2,39.06305117014013,0.5067013683816287,-3.2430511701401272,-0.0329736732134821,0.1299639483181885
Alipur,2023,9,35.55,0.473040023700701,2,47.88688059429512,0.494402348965127,-12.336880594295124,-0.021362325264426052,0.27321009690295384
Alipur,2023,10,94.49,0.3438390293202086,2,112.20870395872483,0.47613071657867734,-17.71870395872483,-0.13229168725846874,2.714716872291038
Alipur,2023,11,228.48,0.2414237048127095,2,207.53477332110313,0.36040263429304986,20.94522667889686,-0.11897892948034036,-2.192211587881677
Alipur,2023,12,198.96,0.3440049885137016,2,177.8700911092991,0.4315669533249412,21.08990889070091,-0.08756196481123962,-1.6842818694704629
Alipur,2024,1,167.47,0.2967259577629736,2,173.9026490815931,0.30127397321446964,-6.432649081593098,-0.004548015451496024,0.029693891673243985
Alipur,2024,3,70.84,0.4740350271647603,2,97.18898318496338,0.40962465713737467,-26.348983184963373,0.06441037002738564,-1.6092768319153528
Alipur,2024,4,65.78,0.2451749824139755,2,87.18532229015716,0.3312991072989123,-21.40532229015716,-0.08612412488493681,2.0006172070092303
Alipur,2024,6,53.35,0.2321320721038561,2,62.83502939078414,0.2866530690962116,-9.485029390784142,-0.054520996992355464,0.5800927468206628
Alipur,2024,7,38.88,0.3216518794663763,2,43.71288470373451,0.3539380209896797,-4.832884703734507,-0.03228614152330339,0.17811351330303807
Alipur,2024,8,22.48,0.5143390521675677,2,30.96188673759202,0.5160545558232381,-8.48188673759202,-0.001715503655670414,0.014613040543945013
Alipur,2024,9,41.13,0.4499043099542539,2,52.89548931364656,0.47305968573096835,-11.765489313646555,-0.02315537577671445,0.28379063721530084
Alipur,2024,10,127.49,0.3860414420904838,2,119.76668719042678,0.4899061722788981,7.7233128095732155,-0.1038647301884143,-0.5736884299702081
Alipur,2025,2,102.29,0.4965837306692173,2,93.01853024370847,0.3948248563206798,9.271469756291538,0.10175887434853748,1.1627743059911078
Alipur,2025,4,93.56,0.2632935217727907,2,83.35525676550523,0.3471071786218887,10.20474323449477,-0.08381365684909803,-0.7065104638681338
