station,year,month,pm25,modis_ndvi_mean_1000m,fold,y_hat_oof,t_hat_oof,y_residual,t_residual,orthogonal_score
Alipur,2022,1,128.79,0.5899046063535913,2,158.53373999092193,0.47416685847659795,-29.743739990921938,0.11573774787699337,-3.2064734716543897
Alipur,2022,2,103.96,0.581785497237569,2,100.60309753737626,0.43645947079748526,3.3569024626237365,0.14532602644008374,0.8599359502202064
Alipur,2022,3,108.41,0.4543568335635359,2,102.70180677772981,0.4436480743460437,5.708193222270182,0.010708759217492203,0.06314808032867146
Alipur,2022,4,127.27,0.2864653038674034,2,133.39894553877718,0.36033300292588727,-6.128945538777188,-0.0738676990584839,0.5488637970840565
Alipur,2022,6,61.81,0.2878447028783658,2,69.96221807026201,0.44901577446265667,-8.152218070262009,-0.1611710715842909,1.7715545505134027
Alipur,2022,7,33.32,0.444004034678226,2,38.896402467280794,0.55188354676783,-5.5764024672807935,-0.107879512089604,0.8066201995595723
Alipur,2022,8,31.47,0.4998489970788706,2,36.69988101213468,0.5110650614116623,-5.229881012134683,-0.011216064332791709,0.0608750553758794
Alipur,2022,10,113.09,0.3902210056098068,2,106.34499349178428,0.4773632678201942,6.745006508215724,-0.0871422622103874,-0.4539863671995195
Alipur,2022,11,211.13,0.3052479523480663,2,171.95312559003372,0.43613714308170365,39.176874409966274,-0.13088919073363736,-4.825994435020938
Alipur,2022,12,182.23,0.3544476450276242,2,159.32615145528447,0.41847091810801684,22.903848544715515,-0.06402327308039263,-1.394162638231689
Alipur,2023,1,155.76,0.4651681698895027,2,162.1426705313857,0.4188463839090391,-6.382670531385713,0.0463217859804636,-0.25785315092002054
Alipur,2023,2,121.24,0.5551840953038675,2,102.58579175182763,0.4117745721487036,18.654208248172367,0.14340952315516386,3.0375325008028704
Alipur,2023,3,80.09,0.4279265607734807,2,88.63234527189456,0.4169990938636474,-8.542345271894561,0.010927466909833261,-0.09124241218186112
Alipur,2023,4,76.69,0.3389225483425415,2,83.10378600630116,0.4262777571639253,-6.413786006301166,-0.08735520882138381,0.6947210435524074
Alipur,2023,5,67.45,0.356759385359116,2,74.44258843770113,0.44956597987919494,-6.99258843770113,-0.09280659452007894,0.8007051532846442
Alipur,2023,7,32.34,0.5399810013717422,2,34.52820103978694,0.5252718201352681,-2.1882010397869394,0.014709181236474134,-0.02837476794390372
Alipur,2023,8,35.82,0.4855553660220995,2,39.06305117014013,0.4853161881546263,-3.2430511701401272,0.0002391778674731837,-0.0007746581943166419
Alipur,2023,9,35.55,0.4650285428176796,2,47.88688059429512,0.5046039654232539,-12.336880594295124,-0.03957542260557434,0.5158311631585988
Alipur,2023,10,94.49,0.363643252762431,2,112.20870395872483,0.4672329732172377,-17.71870395872483,-0.10358972045480674,2.024533688604961
Alipur,2023,11,228.48,0.3436921270718232,2,207.53477332110313,0.42910606614508967,20.94522667889686,-0.0854139390732665,-1.6604798884966763
Alipur,2023,12,198.96,0.3430707976519337,2,177.8700911092991,0.43013295203514956,21.08990889070091,-0.08706215438321585,-1.7025900098622475
Alipur,2024,1,167.47,0.4761852047176143,2,173.9026490815931,0.4055478944798243,-6.432649081593098,0.07063731023778996,-0.3664766499997575
Alipur,2024,3,70.84,0.4664494924033149,2,97.18898318496338,0.40895810173818553,-26.348983184963373,0.05749139066512937,-1.4566068967732886
Alipur,2024,4,65.78,0.2974199689226519,2,87.18532229015716,0.3633063317924127,-21.40532229015716,-0.0658863628697608,1.4867997390681156
Alipur,2024,6,53.35,0.2612823406646331,2,62.83502939078414,0.33425558623262097,-9.485029390784142,-0.0729732455679879,0.7859720525603394
Alipur,2024,7,38.88,0.355399173661539,2,43.71288470373451,0.5861129673326115,-4.832884703734507,-0.23071379367107253,2.052810694692513
Alipur,2024,8,22.48,0.6161135559921415,2,30.96188673759202,0.5980570081730506,-8.48188673759202,0.01805654781909083,-0.1474093689261578
Alipur,2024,9,41.13,0.4979701035911602,2,52.89548931364656,0.5450290653330546,-11.765489313646555,-0.047058961741894445,0.5926880621706573
Alipur,2024,10,127.49,0.3169082044198895,2,119.76668719042678,0.4055498145037826,7.7233128095732155,-0.0886416100838931,-0.5461746459993837
Alipur,2025,2,102.29,0.510026937154696,2,93.01853024370847,0.4389749756519173,9.271469756291538,0.07105196150277876,0.747699590115254
Alipur,2025,4,93.56,0.2781937638121547,2,83.35525676550523,0.3555400546348546,10.20474323449477,-0.07734629082269989,-0.6838989563368325
Alipur,2025,5,82.31,0.2912757044198895,2,71.77344979523122,0.4528156930188018,10.536550204768787,-0.16153998859891233,-1.242323859390742
Alipur,2025,6,53.72,0.2822359252891529,2,57.43005740154165,0.44193035769823397,-3.710057401541654,-0.15969443240908104,1.0417807825620122
Alipur,2025,8,28.67,0.5597605931251405,2,33.72602824185535,0.5761988243831696,-5.056028241855351,-0.016438231258029123,0.08787287596578451
Alipur,2025,9,37.63,0.4848987051104972,2,45.2230154137275,0.5264238181707324,-7.5930154137275,-0.04152511306023515,0.34568053262356285
