station,year,month,pm25,sentinel2_ndvi_mean_500m,fold,y_hat_oof,t_hat_oof,y_residual,t_residual,orthogonal_score
Alipur,2022,1,128.79,0.5633144210215753,2,158.53373999092193,0.3183557854368619,-29.743739990921938,0.24495863558471337,-6.863147750056007
Alipur,2022,2,103.96,0.5285092151598206,2,100.60309753737626,0.3183130497028082,3.3569024626237365,0.21019616545701242,1.0169504481622438
Alipur,2022,3,108.41,0.4987345190208384,2,102.70180677772981,0.2958861369275454,5.708193222270182,0.20284838209329298,1.4478535720473567
Alipur,2022,4,127.27,0.3029156602477867,2,133.39894553877718,0.2584925733813971,-6.128945538777188,0.04442308686638963,-0.2583605531320702
Alipur,2022,6,61.81,0.273336967867672,2,69.96221807026201,0.28440310298284427,-8.152218070262009,-0.011066135115172293,0.09107648677138735
Alipur,2022,7,33.32,0.338184315841221,2,38.896402467280794,0.3175028201757659,-5.5764024672807935,0.020681495665455074,-0.11231427848957823
Alipur,2022,8,31.47,0.5074291092964686,2,36.69988101213468,0.3652480406395977,-5.229881012134683,0.14218106865687086,-0.6011368511735099
Alipur,2022,10,113.09,0.4890232985992082,2,106.34499349178428,0.35846650669956986,6.745006508215724,0.1305567918996383,1.0007187605307934
Alipur,2022,11,211.13,0.2703401201941726,2,171.95312559003372,0.30079294226415954,39.176874409966274,-0.03045282206998695,-1.186511412441654
Alipur,2022,12,182.23,0.3925852042972145,2,159.32615145528447,0.2977045813104869,22.903848544715515,0.09488062298672761,2.2365685853907937
Alipur,2023,1,155.76,0.4823952645613105,2,162.1426705313857,0.2604968623432369,-6.382670531385713,0.2218984022180736,-1.0693302810739773
Alipur,2023,2,121.24,0.5182623589759378,2,102.58579175182763,0.3017130144795823,18.654208248172367,0.21654934449635543,4.370004067275182
Alipur,2023,3,80.09,0.4249512489603779,2,88.63234527189456,0.288639187636464,-8.542345271894561,0.13631206132391388,-1.0334892281245682
Alipur,2023,4,76.69,0.3472359938321067,2,83.10378600630116,0.28346153048753164,-6.413786006301166,0.06377446334457504,-0.3803753539217288
Alipur,2023,5,67.45,0.3625463163864015,2,74.44258843770113,0.30324182253675475,-6.99258843770113,0.059304493849646756,-0.3899083443251507
Alipur,2023,7,32.34,0.2546485927283666,2,34.52820103978694,0.2589844806737746,-2.1882010397869394,-0.004335887945408012,0.009620272833690666
Alipur,2023,8,35.82,0.5048414717219822,2,39.06305117014013,0.36769286093457304,-3.2430511701401272,0.1371486107874092,-0.3122324604576084
Alipur,2023,9,35.55,0.502312344945745,2,47.88688059429512,0.3579052072941006,-12.336880594295124,0.14440713765164437,-1.6345848148477167
Alipur,2023,10,94.49,0.3828610468432031,2,112.20870395872483,0.3528271096527551,-17.71870395872483,0.030033937190448,-0.5258060119372343
Alipur,2023,11,228.48,0.2864574153152662,2,207.53477332110313,0.25759608620554963,20.94522667889686,0.02886132910971656,0.6103768544102761
Alipur,2023,12,198.96,0.4066072976037937,2,177.8700911092991,0.2864589849717917,21.08990889070091,0.12014831263200204,2.63564111787522
Alipur,2024,1,167.47,0.3029856308985502,2,173.9026490815931,0.20248517836250746,-6.432649081593098,0.10050045253604273,-0.5753095892751976
Alipur,2024,3,70.84,0.4896465457904704,2,97.18898318496338,0.29209392652093563,-26.348983184963373,0.19755261926953477,-4.930296957374644
Alipur,2024,4,65.78,0.2791414405574125,2,87.18532229015716,0.22984352212735107,-21.40532229015716,0.049297918430061455,-1.038112228675222
Alipur,2024,6,53.35,0.278258977883922,2,62.83502939078414,0.21458840496772405,-9.485029390784142,0.06367057291619796,-0.5753501499914928
Alipur,2024,7,38.88,0.380718753863091,2,43.71288470373451,0.23398381856094913,-4.832884703734507,0.14673493530214188,-0.5574285043233838
Alipur,2024,8,22.48,0.5649757996821335,2,30.96188673759202,0.3810619660845195,-8.48188673759202,0.18391383359761404,-1.3215850105810911
Alipur,2024,9,41.13,0.4786291416294704,2,52.89548931364656,0.3395982651133337,-11.765489313646555,0.13903087651613671,-1.499555585917127
Alipur,2024,10,127.49,0.4453411772920234,2,119.76668719042678,0.36297717703099086,7.7233128095732155,0.08236400026103252,0.6839268664192738
Alipur,2025,2,102.29,0.5393339270515103,2,93.01853024370847,0.30524439508958306,9.271469756291538,0.23408953196192722,2.556501054887262
Alipur,2025,4,93.56,0.3125511051712478,2,83.35525676550523,0.24717530019269657,10.20474323449477,0.06537580497855122,0.6972610741684471
Alipur,2025,5,82.31,0.2908686098068351,2,71.77344979523122,0.2910588053004269,10.536550204768787,-0.00019019549359178267,-0.0020037494556035844
Alipur,2025,6,53.72,0.3252004427507776,2,57.43005740154165,0.3006562963217819,-3.710057401541654,0.02454414642899566,-0.08681512473432966
Alipur,2025,8,28.67,0.470529949698007,2,33.72602824185535,0.3902701872402823,-5.056028241855351,0.0802597624577247,-0.3604030880193983
Alipur,2025,9,37.63,0.5375161794201035,2,45.2230154137275,0.3703978283237069,-7.5930154137275,0.16711835109639667,-1.072126817712261
Alipur,2025,10,102.63,0.4484158608460314,2,116.01513953195423,0.36297819289315514,-13.385139531954238,0.08543766795287627,-1.0921567018140919
Alipur,2025,11,230.41,0.3442940752484849,2,202.02797009552765,0.3259857091330619,28.382029904472347,0.01830836611542297,0.5219906381333974
Alipur,2025,12,199.32,0.3981282944923114,2,217.41241288388588,0.3226492456560654,-18.092412883885885,0.07547904883624601,-1.3254521822295844
Anand_Vihar,2022,1,230.33,0.1905710957796862,1,148.3896909679905,0.2808169304561775,81.94030903200951,-0.0902458346764913,-7.337380679714537
Anand_Vihar,2022,2,152.63,0.2252440161058658,1,99.00430603548169,0.2553800470583372,53.625693964518305,-0.030136030952471415,-1.609665855288261
Anand_Vihar,2022,3,112.11,0.196526028164589,1,95.38713870777025,0.2396642150772498,16.72286129222975,-0.0431381869126608,-0.7082806010044816
Anand_Vihar,2022,5,87.93,0.1956157614496351,1,74.59693733307991,0.26064574962316683,13.3330626669201,-0.06502998817353173,-0.8372489206944017
Anand_Vihar,2022,6,80.25,0.189360912119577,1,70.28977587582628,0.26045455279184215,9.96022412417372,-0.07109364067226515,-0.6724921775214773
Anand_Vihar,2022,7,41.75,0.2277458160988756,1,31.2153540371827,0.2621198631125955,10.5346459628173,-0.034374047013719905,-0.35379215392318325
Anand_Vihar,2022,8,40.91,0.1909883006833869,1,31.396780501015122,0.27049663329451606,9.513219498984874,-0.07950833261112916,-0.7118336763551677
Anand_Vihar,2022,9,52.76,0.181509721790981,1,38.84266019514384,0.24530469860516774,13.917339804856155,-0.06379497681418675,-0.8591775229523702
Anand_Vihar,2022,10,132.83,0.2386834421705268,1,89.51290641836603,0.29159093289652016,43.31709358163398,-0.05290749072599335,-2.2720734526401474
Anand_Vihar,2022,11,203.8,0.1753913731064495,1,174.28552074857268,0.22368407452540173,29.514479251427332,-0.04829270141895223,-1.4088996146670532
Anand_Vihar,2023,1,226.2,0.1317509673493513,1,167.67373680825597,0.189241239943451,58.52626319174402,-0.057490272594099695,-3.3414003974130586
