treatment,y_rmse,y_mae,y_r2,t_rmse,t_mae,t_r2,t_residual_sd,y_residual_sd,theta,se,ci_low,ci_high,n,n_stations,n_folds,n_controls
sentinel2_ndvi_mean_1000m,25.05498926419253,16.130005861024838,0.8601111344283372,0.0833606204167711,0.0639945465365818,0.4670569871274134,0.08333872985310971,25.030934288884247,-21.18037325635722,5.848786289143157,-32.64399438307781,-9.716752129636633,1292,35,5,35
sentinel2_ndvi_mean_500m,25.05498926419253,16.130005861024838,0.8601111344283372,0.11258924746556292,0.07934629227371637,0.18972647638082818,0.1105661567881275,25.030934288884247,-7.046747700171218,4.651391660809227,-16.163475355357303,2.069979955014868,1292,35,5,35
modis_ndvi_mean_1000m,25.05498926419253,16.130005861024838,0.8601111344283372,0.07789263828920438,0.059431273686778203,0.4811374328964322,0.07789115735479898,25.030934288884247,-17.61821736614033,6.574982325530092,-30.505182724179306,-4.7312520081013485,1292,35,5,35
