station,year,month,pm25,lag_modis_ndvi_mean_1000m,time_holdout_year,y_prediction,t_prediction,y_residual,t_residual,orthogonal_score,treatment
Alipur,2023,1,155.76,0.3544476450276242,2023,103.53297814356712,0.41216999237224805,52.22702185643287,-0.05772234734462384,-3.014666296372279,modis_ndvi_mean_1000m
Alipur,2023,2,121.24,0.4651681698895027,2023,123.86130145438744,0.5106800152545515,-2.6213014543874493,-0.04551184536504882,0.11930026644725916,modis_ndvi_mean_1000m
Alipur,2023,3,80.09,0.5551840953038675,2023,141.10264218956348,0.4418661776168173,-61.01264218956348,0.11331791768705018,-6.9138255655064,modis_ndvi_mean_1000m
Alipur,2023,4,76.69,0.4279265607734807,2023,121.24548626316107,0.42506560412447036,-44.55548626316107,0.0028609566490103155,-0.12747131467447845,modis_ndvi_mean_1000m
Alipur,2023,5,67.45,0.3389225483425415,2023,112.7693223144515,0.3723069810614,-45.3193223144515,-0.03338443271885849,1.5129598666710684,modis_ndvi_mean_1000m
Alipur,2023,8,35.82,0.5399810013717422,2023,100.0925127079296,0.49903884612404315,-64.2725127079296,0.040942155247699064,-2.6314551934477644,modis_ndvi_mean_1000m
Alipur,2023,9,35.55,0.4855553660220995,2023,94.120412050108,0.4163907583094278,-58.570412050108004,0.06916460771267169,-4.050999573015259,modis_ndvi_mean_1000m
Alipur,2023,10,94.49,0.4650285428176796,2023,122.01642975098453,0.4461075406604492,-27.526429750984533,0.01892100215723036,-0.5208276366992283,modis_ndvi_mean_1000m
Alipur,2023,11,228.48,0.363643252762431,2023,180.76749897697482,0.4396103091078572,47.71250102302517,-0.07596705634542622,-3.624578253597359,modis_ndvi_mean_1000m
Alipur,2023,12,198.96,0.3436921270718232,2023,167.0617104029127,0.4154241116694961,31.898289597087313,-0.07173198459767294,-2.2881276180703782,modis_ndvi_mean_1000m
Alipur,2024,1,167.47,0.3430707976519337,2024,180.91351192337333,0.33881352412905297,-13.443511923373336,0.0042572735228807446,-0.057232707365908894,modis_ndvi_mean_1000m
Alipur,2024,4,65.78,0.4664494924033149,2024,95.07119983010999,0.4571637388582753,-29.29119983010999,0.009285753545039577,-0.2719908626609065,modis_ndvi_mean_1000m
Alipur,2024,7,38.88,0.2612823406646331,2024,26.346633694003405,0.37256637666069164,12.533366305996598,-0.11128403599605857,-1.394763587148313,modis_ndvi_mean_1000m
Alipur,2024,8,22.48,0.355399173661539,2024,29.690069732657975,0.4247379894544176,-7.210069732657974,-0.0693388157928786,0.4999376970465807,modis_ndvi_mean_1000m
Alipur,2024,9,41.13,0.6161135559921415,2024,47.56341792130087,0.43662225100911645,-6.433417921300865,0.179491304983025,-1.1547425781954723,modis_ndvi_mean_1000m
Alipur,2024,10,127.49,0.4979701035911602,2024,107.97011807621807,0.46676977635563005,19.519881923781924,0.031200327235530123,0.6090267036209053,modis_ndvi_mean_1000m
Alipur,2025,5,82.31,0.2781937638121547,2025,63.28541575890616,0.37593876162621476,19.02458424109384,-0.09774499781406004,-1.8595579450591186,modis_ndvi_mean_1000m
Alipur,2025,6,53.72,0.2912757044198895,2025,44.056720837547395,0.3454263004260224,9.663279162452604,-0.05415059600613292,-0.5232723260204535,modis_ndvi_mean_1000m
Alipur,2025,9,37.63,0.5597605931251405,2025,29.69807852556324,0.513716942144299,7.931921474436763,0.04604365098084151,0.3652146239764081,modis_ndvi_mean_1000m
Alipur,2025,10,102.63,0.4848987051104972,2025,117.87348282851424,0.49392410106769497,-15.243482828514246,-0.009025395957197757,0.1375784682940859,modis_ndvi_mean_1000m
Alipur,2025,11,230.41,0.3903522375690608,2025,187.3470221433008,0.38082005911622857,43.062977856699206,0.009532178452832218,0.4104839896404191,modis_ndvi_mean_1000m
Alipur,2025,12,199.32,0.2902265296961326,2025,177.24443210119512,0.3421826062388148,22.075567898804877,-0.051956076542682195,-1.146959895473484,modis_ndvi_mean_1000m
Anand_Vihar,2023,2,137.86,0.2087472360592224,2023,136.79521880031274,0.2730969504364174,1.0647811996872747,-0.064349714377195,-0.06851836607408315,modis_ndvi_mean_1000m
Anand_Vihar,2023,3,99.13,0.2470084578663345,2023,132.94626384651522,0.2614320348953236,-33.81626384651523,-0.014423577028989082,0.487751486422831,modis_ndvi_mean_1000m
Anand_Vihar,2023,4,91.27,0.2779735610619469,2023,116.39516878713161,0.26953043430827117,-25.125168787131614,0.008443126753675756,-0.21213498477724996,modis_ndvi_mean_1000m
Anand_Vihar,2023,5,82.1,0.2845188449701865,2023,109.71630446281104,0.27402366285451635,-27.616304462811044,0.010495182115670132,-0.2898381446989957,modis_ndvi_mean_1000m
Anand_Vihar,2023,6,55.56,0.3132034938425349,2023,93.18277211046737,0.27157912380042165,-37.622772110467366,0.04162437004211322,-1.5660241883361907,modis_ndvi_mean_1000m
Anand_Vihar,2023,7,37.66,0.2871761347765362,2023,45.06724507151144,0.31941207905043095,-7.40724507151144,-0.03223594427389476,0.23877953934832435,modis_ndvi_mean_1000m
Anand_Vihar,2023,10,132.38,0.3412141552511414,2023,117.8454049806715,0.3342098546189391,14.534595019328492,0.007004300632202309,0.10180467308268709,modis_ndvi_mean_1000m
Anand_Vihar,2023,11,280.67,0.3440850214473501,2023,179.1666137318884,0.2984755060905277,101.50338626811163,0.045609515356822394,4.629520254764913,modis_ndvi_mean_1000m
Anand_Vihar,2023,12,240.59,0.3149801678611844,2023,177.65819232801016,0.3062657045156112,62.931807671989844,0.008714463345573187,0.548416931228217,modis_ndvi_mean_1000m
Anand_Vihar,2024,1,252.19,0.2650279380111924,2024,226.2270276632177,0.2490030070563663,25.962972336782286,0.0160249309548261,0.41605483907899615,modis_ndvi_mean_1000m
Anand_Vihar,2024,2,121.33,0.1874190202231521,2024,140.6795238236186,0.24949613847935093,-19.34952382361861,-0.06207711825619883,1.201162678599909,modis_ndvi_mean_1000m
Anand_Vihar,2024,7,52.13,0.2046754132663736,2024,62.596693013517665,0.3288552992479005,-10.466693013517663,-0.12417988598152693,1.299752745022268,modis_ndvi_mean_1000m
Anand_Vihar,2024,8,44.31,0.5307794855826484,2024,39.13440269754239,0.3690300636267728,5.175597302457611,0.1617494219558756,0.8371498719489077,modis_ndvi_mean_1000m
Anand_Vihar,2024,9,88.87,0.4160601518026565,2024,65.29593320298515,0.3613271627734141,23.57406679701485,0.054732989029242396,1.2902791393756412,modis_ndvi_mean_1000m
Anand_Vihar,2024,10,151.28,0.3678808046215578,2024,142.5787896382688,0.3571294062377488,8.7012103617312,0.010751398383809008,0.09355017902029901,modis_ndvi_mean_1000m
Anand_Vihar,2024,11,313.15,0.2299499548192771,2024,257.49211663458226,0.34162113142836814,55.65788336541772,-0.11167117660909104,-6.215381322987752,modis_ndvi_mean_1000m
Anand_Vihar,2025,4,84.09,0.2563342249032551,2025,87.62877889423814,0.24651800467429127,-3.538778894238135,0.009816220228963807,-0.03473743296745055,modis_ndvi_mean_1000m
Anand_Vihar,2025,7,38.32,0.2621635294117647,2025,45.98765992737783,0.2548624838683178,-7.6676599273778265,0.007301045543446905,-0.0559819343414483,modis_ndvi_mean_1000m
Anand_Vihar,2025,8,51.59,0.3182169132602385,2025,40.13798831573459,0.4344900228330399,11.452011684265415,-0.1162731095728014,-1.3315610093935946,modis_ndvi_mean_1000m
Anand_Vihar,2025,9,59.58,0.550153931691819,2025,47.03248539954754,0.3950729671623617,12.547514600452459,0.15508096452945735,1.945880666685616,modis_ndvi_mean_1000m
Anand_Vihar,2025,12,276.49,0.276856697108067,2025,198.79016207056105,0.24039867816093458,77.69983792943896,0.03645801894713241,2.8327821634206027,modis_ndvi_mean_1000m
Ashok_Vihar,2023,3,68.72,0.250524157963898,2023,129.62735564057283,0.27851977665414707,-60.90735564057283,-0.02799561869024908,1.7051391039448685,modis_ndvi_mean_1000m
Ashok_Vihar,2023,6,30.12,0.3639035790856907,2023,81.012601891311,0.2920216799899681,-50.89260189131099,0.07188189909572262,-3.6582568738699988,modis_ndvi_mean_1000m
Ashok_Vihar,2023,7,25.47,0.30096852418861,2023,37.924933804338785,0.3367302221859512,-12.454933804338786,-0.035761697997341246,0.4454095812876402,modis_ndvi_mean_1000m
Ashok_Vihar,2023,8,25.52,0.4269923376029277,2023,94.59426248241373,0.40180525341204076,-69.07426248241373,0.025187084190886944,-1.739779264567978,modis_ndvi_mean_1000m
Ashok_Vihar,2023,9,34.96,0.3847246213431082,2023,100.27427751264294,0.40410275857595485,-65.31427751264295,-0.01937813723284665,1.2656690329042248,modis_ndvi_mean_1000m
Ashok_Vihar,2023,10,89.46,0.3509140016598659,2023,106.81356088456668,0.37444171665967874,-17.35356088456669,-0.02352771499981282,0.4082896347239848,modis_ndvi_mean_1000m
Ashok_Vihar,2023,11,236.55,0.3841587039214328,2023,186.2326063375828,0.3399780797324451,50.3173936624172,0.044180624188987716,2.2230538595686067,modis_ndvi_mean_1000m
Ashok_Vihar,2023,12,215.02,0.3325650459921158,2023,178.8872838935317,0.3316598235937903,36.13271610646831,0.000905222398325467,0.032708143931910474,modis_ndvi_mean_1000m
Ashok_Vihar,2024,1,184.78,0.2678000069161076,2024,197.66718724518623,0.2598882123958823,-12.887187245186226,0.007911794520225335,-0.10196077742758221,modis_ndvi_mean_1000m
Ashok_Vihar,2024,2,103.67,0.2144527699010996,2024,124.6129964423692,0.28541773379980045,-20.942996442369193,-0.07096496389870086,1.4862189864633502,modis_ndvi_mean_1000m
