treatment,t_residual_min,t_residual_p01,t_residual_p05,t_residual_median,t_residual_p95,t_residual_p99,t_residual_max,permutation_reps,permutation_null_mean,permutation_null_p025,permutation_null_p975,permutation_observed_percentile
sentinel2_ndvi_mean_1000m,-0.280453850158778,-0.23295476118469363,-0.1457486503994761,0.0005951090409511001,0.13769374857015737,0.17228418144310553,0.3096937323592265,1000,-18.774624457660725,-23.829783363194604,-13.759952343689113,0.184
sentinel2_ndvi_mean_500m,-0.4970176326971248,-0.42122614319356133,-0.20292373295279076,-0.01022345446122425,0.13643223643195096,0.2033184337144563,0.2695900586553162,1000,-4.832642754799353,-8.205746133966406,-1.7182252259540638,0.087
modis_ndvi_mean_1000m,-0.3065232409899535,-0.22250229094140933,-0.1270585692597347,-0.00113220058584085,0.12093837282825501,0.1783333262362045,0.2946411588353471,1000,-11.505594184459435,-18.50159430880824,-4.868595381129706,0.035
