treatment,station,n,theta_station,t_residual_sd
sentinel2_ndvi_mean_500m,Okhla_Phase-2,39,38.605726454060004,0.05587512677086713
sentinel2_ndvi_mean_500m,Patparganj,39,-59.63950245793871,0.034575144046593405
sentinel2_ndvi_mean_500m,Punjabi_Bagh,39,-283.6212150646117,0.024260616076261714
sentinel2_ndvi_mean_500m,R_K_Puram,39,180.71013063884342,0.03115015313962497
sentinel2_ndvi_mean_500m,Rohini,39,-117.5224262358634,0.0366168262576995
sentinel2_ndvi_mean_500m,Shadipur,39,-13.367363273820716,0.024921967473696884
sentinel2_ndvi_mean_500m,Sirifort,36,-52.37005151581945,0.03914435020234574
sentinel2_ndvi_mean_500m,Sonia_Vihar,39,-37.97667065408453,0.04578236729655638
sentinel2_ndvi_mean_500m,Sri_Aurobindo_Marg,39,-14.790975090007334,0.057300310143196045
sentinel2_ndvi_mean_500m,Vivek_Vihar,39,-70.74957614357557,0.024198578054834736
sentinel2_ndvi_mean_500m,Wazirpur,39,-161.15503483668758,0.025974596455810517
modis_ndvi_mean_1000m,Alipur,38,-23.047040764871507,0.08662238085973926
modis_ndvi_mean_1000m,Anand_Vihar,38,-300.05090925363174,0.04281269635116835
modis_ndvi_mean_1000m,Ashok_Vihar,38,12.710764985441594,0.042066970800290975
modis_ndvi_mean_1000m,Aya_Nagar,38,112.40528166965464,0.052838332373392125
modis_ndvi_mean_1000m,Bawana,38,-213.12438363904965,0.04574630646511924
modis_ndvi_mean_1000m,Burari_Crossing,38,12.745972466888812,0.03502322973729826
modis_ndvi_mean_1000m,Chandni_Chowk,28,132.8962996843183,0.04201532659488385
modis_ndvi_mean_1000m,DTU,38,371.8384877705247,0.020563949805524204
modis_ndvi_mean_1000m,Dr._Karni_Singh_Shooting_Range,38,-36.854727545688306,0.0678665333498433
modis_ndvi_mean_1000m,Dwarka-Sector_8,38,-57.30048009574587,0.050382472532917395
modis_ndvi_mean_1000m,IGI_Airport_(T3),38,7.195822781452869,0.039465300288405954
modis_ndvi_mean_1000m,IHBAS_Dilshad_Garden,38,-131.67421867320334,0.02805976665881355
modis_ndvi_mean_1000m,IIT_Delhi,1,-1092.5251883389137,
modis_ndvi_mean_1000m,IMD_Lodhi_Road,38,-121.68851882166545,0.017176853769640805
modis_ndvi_mean_1000m,ITO,38,-129.2712204846001,0.029183963922015534
modis_ndvi_mean_1000m,Jahangirpuri,38,-161.97332530032884,0.02323263177159889
modis_ndvi_mean_1000m,Jawaharlal_Nehru_Stadium,38,-141.2231586815478,0.04333475333465339
modis_ndvi_mean_1000m,Major_Dhyan_Chand_National_Stadium,38,-99.13581313569327,0.02832886839652458
modis_ndvi_mean_1000m,Mandir_Marg,38,-50.75628600571881,0.0558982282696006
modis_ndvi_mean_1000m,Mundka,38,-304.8453911872646,0.028622631871937598
modis_ndvi_mean_1000m,Najafgarh,38,-37.29859811119251,0.1239395953313602
modis_ndvi_mean_1000m,Narela,38,57.301634381984215,0.04662578609855081
modis_ndvi_mean_1000m,Nehru_Nagar,38,174.05657258147704,0.033480204018295275
modis_ndvi_mean_1000m,North_Campus_DU,39,-10.923729765266751,0.0412185808702128
modis_ndvi_mean_1000m,Okhla_Phase-2,39,78.12342555511891,0.03734854204608792
modis_ndvi_mean_1000m,Patparganj,39,-112.45181112611203,0.035934985153511914
modis_ndvi_mean_1000m,Punjabi_Bagh,39,-188.61420724821886,0.029834151895832498
modis_ndvi_mean_1000m,R_K_Puram,39,110.89812768253118,0.04263157322366272
modis_ndvi_mean_1000m,Rohini,39,-52.776802629794346,0.03343994755142857
modis_ndvi_mean_1000m,Shadipur,39,33.10018731481366,0.03922775405267478
modis_ndvi_mean_1000m,Sirifort,36,-26.971778763412317,0.040432862086947845
modis_ndvi_mean_1000m,Sonia_Vihar,39,98.41450356571274,0.04188961122383445
modis_ndvi_mean_1000m,Sri_Aurobindo_Marg,39,-19.932491650900104,0.04492450244182621
modis_ndvi_mean_1000m,Vivek_Vihar,39,67.20281120460132,0.025170397701426393
modis_ndvi_mean_1000m,Wazirpur,39,114.45356248411224,0.03391481436215664
