treatment,theta_robust,cluster_se,cluster_ci_low,cluster_ci_high,n_clusters,wild_bootstrap_reps,wild_bootstrap_se,wild_bootstrap_ci_low,wild_bootstrap_ci_high,t_residual_min,t_residual_p01,t_residual_p05,t_residual_median,t_residual_p95,t_residual_p99,t_residual_max,permutation_reps,permutation_null_mean,permutation_null_p025,permutation_null_p975,permutation_observed_percentile,theta_baseline,se,ci_low,ci_high,effect_per_treatment_sd
sentinel2_ndvi_mean_1000m,-21.18037325635722,16.514334884033648,-53.54846962906317,11.187723116348728,35,2000,16.266455992835905,-52.465975879163125,10.011108798080693,-0.280453850158778,-0.23295476118469363,-0.1457486503994761,0.0005951090409511001,0.13769374857015737,0.17228418144310553,0.3096937323592265,1000,-18.774624457660725,-23.829783363194604,-13.759952343689113,0.184,-21.18037325635722,5.848786289143157,-32.64399438307781,-9.716752129636632,-2.41948145048302
sentinel2_ndvi_mean_500m,-7.046747700171221,15.404923380458325,-37.24039752586954,23.146902125527095,35,2000,15.46008842153797,-36.05557784101197,22.204741982650372,-0.4970176326971248,-0.42122614319356133,-0.20292373295279076,-0.01022345446122425,0.13643223643195096,0.2033184337144563,0.2695900586553162,1000,-4.832642754799353,-8.205746133966406,-1.7182252259540638,0.087,-7.046747700171218,4.651391660809227,-16.163475355357303,2.069979955014868,-0.8817347363821909
modis_ndvi_mean_1000m,-17.61821736614032,15.733747578022674,-48.45636261906476,13.21992788678412,35,2000,15.52623548729135,-47.053116806356506,12.87530491905266,-0.3065232409899535,-0.22250229094140933,-0.1270585692597347,-0.00113220058584085,0.12093837282825501,0.1783333262362045,0.2946411588353471,1000,-11.505594184459435,-18.50159430880824,-4.868595381129706,0.035,-17.61821736614033,6.574982325530092,-30.505182724179303,-4.7312520081013485,-1.905901024559343
