station,year,month,split,period,lag_sentinel2_ndvi_mean_1000m,lag_sentinel2_ndvi_mean_500m,lag_modis_ndvi_mean_1000m
Alipur,2022,1,train,2022-01-01,,,
Alipur,2022,2,train,2022-02-01,0.5450644381540622,0.5633144210215753,0.5899046063535913
Alipur,2022,3,train,2022-03-01,0.5154447396880407,0.5285092151598206,0.581785497237569
Alipur,2022,4,train,2022-04-01,0.4736578698388993,0.4987345190208384,0.4543568335635359
Alipur,2022,6,train,2022-06-01,,,
Alipur,2022,7,train,2022-07-01,0.2336080548344577,0.273336967867672,0.2878447028783658
Alipur,2022,8,train,2022-08-01,0.291282641372673,0.338184315841221,0.444004034678226
Alipur,2022,10,train,2022-10-01,,,
Alipur,2022,11,train,2022-11-01,0.4286757698917767,0.4890232985992082,0.3902210056098068
Alipur,2022,12,train,2022-12-01,0.232791164352193,0.2703401201941726,0.3052479523480663
Alipur,2023,1,train,2023-01-01,0.3106899427373614,0.3925852042972145,0.3544476450276242
Alipur,2023,2,train,2023-02-01,0.4317970786074115,0.4823952645613105,0.4651681698895027
Alipur,2023,3,train,2023-03-01,0.5009788194805853,0.5182623589759378,0.5551840953038675
Alipur,2023,4,train,2023-04-01,0.4205413084965412,0.4249512489603779,0.4279265607734807
Alipur,2023,5,train,2023-05-01,0.3172882161420013,0.3472359938321067,0.3389225483425415
Alipur,2023,7,train,2023-07-01,,,
Alipur,2023,8,train,2023-08-01,0.2733921853175042,0.2546485927283666,0.5399810013717422
Alipur,2023,9,train,2023-09-01,0.4737276951681466,0.5048414717219822,0.4855553660220995
Alipur,2023,10,train,2023-10-01,0.473040023700701,0.502312344945745,0.4650285428176796
Alipur,2023,11,train,2023-11-01,0.3438390293202086,0.3828610468432031,0.363643252762431
Alipur,2023,12,train,2023-12-01,0.2414237048127095,0.2864574153152662,0.3436921270718232
Alipur,2024,1,train,2024-01-01,0.3440049885137016,0.4066072976037937,0.3430707976519337
Alipur,2024,3,train,2024-03-01,,,
Alipur,2024,4,train,2024-04-01,0.4740350271647603,0.4896465457904704,0.4664494924033149
Alipur,2024,6,train,2024-06-01,,,
Alipur,2024,7,train,2024-07-01,0.2321320721038561,0.278258977883922,0.2612823406646331
