treatment,lagged_column,n_lagged_rows,n_time_aware_oof,time_aware_theta,time_aware_cluster_se,time_aware_ci_low,time_aware_ci_high,n_clusters,n_time_folds,lagged_treatment_mean,lagged_treatment_sd
sentinel2_ndvi_mean_1000m,lag_sentinel2_ndvi_mean_1000m,998,764,26.970368618455257,14.609980093494878,-1.6651923647947022,55.60592960170521,34,3,0.3055529550826325,0.11390399347078264
sentinel2_ndvi_mean_500m,lag_sentinel2_ndvi_mean_500m,998,764,19.742400401947588,13.353469475218011,-6.430399769479713,45.91520057337489,34,3,0.29912970949212864,0.12464457198590168
modis_ndvi_mean_1000m,lag_modis_ndvi_mean_1000m,998,764,-76.42104946768217,17.904163201416,-111.51320934245753,-41.328889592906805,34,3,0.3634465205670752,0.10818862399491885
