treatment,n_rows,n_folds,y_rmse,y_mae,y_r2,t_rmse,t_mae,t_r2,pm25_band_accuracy,residual_orthogonality_corr,mean_orthogonal_score
sentinel2_ndvi_mean_1000m,1292,5,25.05498926419253,16.130005861024834,0.8601111344283372,0.0833606204167711,0.06399454653658182,0.4670569871274134,0.6942724458204335,-0.06873680549019023,4.124667583746712e-17
sentinel2_ndvi_mean_500m,1292,5,25.05498926419253,16.130005861024834,0.8601111344283372,0.11258924746556292,0.07934629227371637,0.18972647638082818,0.6942724458204335,-0.02220955385349298,-5.499556778328949e-18
modis_ndvi_mean_1000m,1292,5,25.05498926419253,16.130005861024834,0.8601111344283372,0.07789263828920438,0.05943127368677821,0.4811374328964322,0.6942724458204335,-0.05338784865650259,2.1998227113315797e-17
