station,latitude,longitude,year,month,buffer_m,sentinel2_ndvi_mean,sentinel2_ndvi_median,sentinel2_ndvi_std,sentinel2_ndvi_min,sentinel2_ndvi_max,sentinel2_valid_pixels,sentinel2_evi_mean,sentinel2_evi_median,sentinel2_evi_std,sentinel2_ndwi_mean,sentinel2_ndwi_median,sentinel2_ndwi_std,spatial_scale_m,temporal_aggregation,source_dataset
Alipur,28.815329,77.15301,2022,1,100,0.5830113500262518,0.6306909918785095,0.15299320256217228,0.13932400941848755,0.7923924326896667,392,0.3085464238789031,0.3192712998289578,0.08166539953002142,-0.54387291295719,-0.5679866969585419,0.10956143575710518,10,monthly_median,COPERNICUS/S2_SR_HARMONIZED
Alipur,28.815329,77.15301,2022,1,250,0.629321941126538,0.6543117604412875,0.16513733399029398,0.08056510239839554,0.9182248711585999,2313,0.3859295015420723,0.3632411264233022,0.1400737534090369,-0.5737806525862575,-0.5874586486816407,0.11942286438007679,10,monthly_median,COPERNICUS/S2_SR_HARMONIZED
Alipur,28.815329,77.15301,2022,1,500,0.5633144210215753,0.5820126952246428,0.235627296061917,-0.07581058889627457,0.9227144122123718,9082,0.3962488618970157,0.3435413668598595,0.2739288914110375,-0.5214734567460412,-0.5413481612674526,0.1815605276592454,10,monthly_median,COPERNICUS/S2_SR_HARMONIZED
Alipur,28.815329,77.15301,2022,1,1000,0.5450644381540622,0.5663414077326194,0.2531180336552945,-0.07581058889627457,0.9602952003479004,35884,0.40006776382559617,0.31040175880565957,0.2928336392872186,-0.5048424117479455,-0.5254363655066121,0.19167381477329326,10,monthly_median,COPERNICUS/S2_SR_HARMONIZED
Anand_Vihar,28.647622,77.315809,2022,1,100,0.12707875866337207,0.11042179690647713,0.07724914275352361,-0.010731707327067852,0.37697842717170715,392,0.12391835198277498,0.08869780107688381,0.13848610005657055,-0.1589047751764294,-0.15132877017770494,0.07175480938900783,10,monthly_median,COPERNICUS/S2_SR_HARMONIZED
Anand_Vihar,28.647622,77.315809,2022,1,250,0.1497351306981495,0.09560996364528812,0.1387638431456416,-0.040637485682964325,0.7267974019050598,2312,0.11960345248049974,0.06994367964665917,0.15290796667732218,-0.17939135886588878,-0.1422685222636785,0.11481079105080731,10,monthly_median,COPERNICUS/S2_SR_HARMONIZED
Anand_Vihar,28.647622,77.315809,2022,1,500,0.19057109577968623,0.13471345698400178,0.16464014373349567,-0.040637485682964325,0.7558221220970154,9052,0.13065382776496695,0.08577653462920573,0.13052840940723484,-0.20758415554857398,-0.16632988787199393,0.13959384223932222,10,monthly_median,COPERNICUS/S2_SR_HARMONIZED
Anand_Vihar,28.647622,77.315809,2022,1,1000,0.23152615445417907,0.17376398058031667,0.17728745479786295,-0.05519895255565643,0.8081734776496887,35843,0.13976520413688948,0.10147881281871413,0.11592699482106002,-0.2470524013877071,-0.2090116123971634,0.15213336914035694,10,monthly_median,COPERNICUS/S2_SR_HARMONIZED
Ashok_Vihar,28.695381,77.181665,2022,1,100,0.4320802725909214,0.4748913215266334,0.17456270382069464,0.057777758687734604,0.7345372438430786,391,0.24749907479768096,0.2371383246637518,0.11119518996407433,-0.41539121939603896,-0.4547846168279648,0.1453391488326911,10,monthly_median,COPERNICUS/S2_SR_HARMONIZED
Ashok_Vihar,28.695381,77.181665,2022,1,250,0.3431480166084816,0.3220854174807994,0.19423961767529344,-0.026315778493881226,0.7345372438430786,2312,0.19036725621212996,0.1728518382112394,0.10950694246771991,-0.3457896955027005,-0.33441142257421264,0.16119681943639086,10,monthly_median,COPERNICUS/S2_SR_HARMONIZED
