station,year,month,era5_temp_mean,era5_rh_mean,era5_wind_speed_mean,era5_blh_mean
Alipur,2022,1,12.601574541421906,81.48270665448338,2.199477039965095,304.80340576171875
Alipur,2022,2,15.330780656317419,72.40558562375224,2.4917431476010536,369.360107421875
Alipur,2022,3,24.112319751574688,54.834549159028555,2.4484385221692198,445.95880126953125
Alipur,2022,4,30.69687809170346,27.46911517381259,2.4016099668143847,816.34521484375
Alipur,2022,5,32.161520584830086,44.2676751656084,2.431034965318059,820.083251953125
Alipur,2022,6,33.04102541148501,44.00375880160006,2.7653663647215154,835.596435546875
Alipur,2022,7,29.276848322158184,80.03103430556628,2.227462329950869,483.0439147949219
Alipur,2022,8,28.68266328242842,78.53042958493083,2.417412989422038,501.97882080078125
Alipur,2022,9,28.020824390777744,76.1938296448891,2.0041298015996953,483.2440490722656
Alipur,2022,10,23.69036279758317,72.60609970184869,1.8600581165477064,362.51580810546875
Alipur,2022,11,19.877141719106746,63.43798044113715,2.126007529695322,309.274658203125
Alipur,2022,12,14.857460072993357,68.46694746659392,2.4109804577046545,242.77392578125
Alipur,2023,1,12.32468473529196,77.46532858292377,2.148241079643568,255.1824188232422
Alipur,2023,2,18.431754933497174,60.59167241026485,2.5786967546764528,349.7845458984375
Alipur,2023,3,21.813247864995198,62.6326736994758,1.9607716794127414,466.0058288574219
Alipur,2023,4,26.460398694216806,41.069132965590136,2.273256617454476,808.4884033203125
Alipur,2023,5,28.941036383189417,47.466452231537204,2.2609609430979387,736.9832153320312
Alipur,2023,6,31.20416117847394,57.453166379867156,2.319326611748581,684.6553955078125
Alipur,2023,7,29.070466849577524,81.94877596842865,2.1390764166749996,426.7043762207031
Alipur,2023,8,29.805472041729246,72.65934907943071,2.5028506347152155,508.8796081542969
Alipur,2023,9,28.789534027734888,73.41936757726361,1.9798004542455354,454.35882568359375
Alipur,2023,10,25.073884322781932,59.35563557088375,1.9459634929452625,409.000244140625
Alipur,2023,11,20.56501782949251,67.49453198454596,1.6281152905841556,319.6317443847656
Alipur,2023,12,15.214194197372802,73.86598821520772,1.8489000751055662,230.95843505859375
Alipur,2024,1,11.53507660569948,81.86849733364065,1.6901031030336877,208.3745880126953
Alipur,2024,2,15.777732981163549,64.69504624980662,2.39725218516684,359.1019592285156
Alipur,2024,3,21.19851725960735,53.6420437610759,2.48349007391097,463.5860900878906
Alipur,2024,4,28.08422770086124,31.954877684627846,2.6417771392924285,816.6884155273438
Alipur,2024,5,33.3481681022675,30.109182715583394,2.653494481398411,945.468017578125
Alipur,2024,6,34.518439919464534,40.91718757614718,2.896675669049999,879.93408203125
Alipur,2024,7,30.24325463919077,79.191349692203,1.8666686424320946,449.3864440917969
Alipur,2024,8,28.325738599826458,84.06452199886458,2.222218524796681,443.1229553222656
Alipur,2024,9,27.482304077460064,83.05443917937954,1.7653176855911883,368.83935546875
Alipur,2024,10,26.05879028838607,67.07125632741948,1.8241441613308524,377.7575378417969
Alipur,2024,11,21.14339114171503,68.87013375309414,1.7081559323032427,342.72161865234375
Alipur,2024,12,14.402874805578174,67.32116655917021,2.2391484812800617,258.8565368652344
Alipur,2025,1,13.339210426275322,78.82114601938213,2.2426098867583786,218.17486572265625
Alipur,2025,2,17.40171871129345,63.26645595572616,2.515398366113598,335.2911682128906
Alipur,2025,3,22.112695549942227,49.153904491650586,2.678030522589909,495.154052734375
Alipur,2025,4,29.424702458962724,35.58080655075679,2.580790395406873,770.128662109375
Alipur,2025,5,31.315510791360644,50.428529662603935,2.5746501503194117,763.087890625
Alipur,2025,6,31.27322921082674,63.86950699650965,2.105272035350759,596.9360961914062
Alipur,2025,7,28.772640869127095,82.372056241498,2.0897689152615517,441.97857666015625
Alipur,2025,8,28.097503870940514,83.8181813877762,2.2997555707663215,413.4580078125
Alipur,2025,9,27.936493450564363,77.36554955469843,2.443031821096442,461.9355773925781
Alipur,2025,10,24.32739646004316,70.71293454744388,1.4926450265675055,410.06610107421875
Alipur,2025,11,18.92861912015053,58.0936689398198,2.201280726403256,320.0189208984375
Alipur,2025,12,15.139800868029356,69.9416453605332,2.1776382609218086,218.61485290527344
Anand_Vihar,2022,1,12.653405813045138,81.35783062975153,2.2052188371913024,307.1187744140625
Anand_Vihar,2022,2,15.39546124114247,72.55719205309644,2.4829449558234455,365.1680908203125
Anand_Vihar,2022,3,24.097759083547697,55.22114019812708,2.436560251308883,439.18731689453125
Anand_Vihar,2022,4,30.582876981721952,28.42656875606726,2.33990568461506,777.0055541992188
Anand_Vihar,2022,5,32.09140565129593,45.4228147548298,2.3891105406200777,777.5386352539062
Anand_Vihar,2022,6,33.06740678391739,44.2215553091412,2.759749284582195,814.0657348632812
Anand_Vihar,2022,7,29.315395031021566,79.90572277913587,2.252642908750216,497.77764892578125
Anand_Vihar,2022,8,28.669323315532637,78.60256671555932,2.423369536473752,505.2118835449219
Anand_Vihar,2022,9,28.006558898102888,76.51158690840867,2.059827665990767,500.3103332519531
Anand_Vihar,2022,10,23.639785441200804,73.72482549484792,1.8632713137446826,352.7002258300781
Anand_Vihar,2022,11,19.86454830164829,64.21464897708664,2.0939081828655324,301.1332702636719
Anand_Vihar,2022,12,14.87304787803121,68.63269200600712,2.4289014450970483,242.94114685058594
Anand_Vihar,2023,1,12.412648331849311,77.36314174468649,2.1482843061221697,258.7679748535156
Anand_Vihar,2023,2,18.489570364430836,60.81829323790274,2.5732457739623267,347.31854248046875
Anand_Vihar,2023,3,21.903820714106512,62.83699456533306,1.9609799825176446,465.33453369140625
Anand_Vihar,2023,4,26.51573917614191,41.106674559446446,2.2532318193649243,802.14404296875
Anand_Vihar,2023,5,29.00605710386919,47.64538899146416,2.2710225307852965,738.8174438476562
Anand_Vihar,2023,6,31.231576425483834,57.599745856321825,2.3379588872929618,698.3248291015625
Anand_Vihar,2023,7,29.039198292163416,82.28304800491,2.1293242880832866,423.0887756347656
Anand_Vihar,2023,8,29.76524281774718,72.64188930260217,2.5459330239497735,504.639404296875
Anand_Vihar,2023,9,28.74855144469518,73.86008145990739,1.9973719244235504,443.3123779296875
Anand_Vihar,2023,10,25.18251302287315,58.953756908655606,1.964953922491543,410.3251647949219
Anand_Vihar,2023,11,20.676128594006375,67.31131636008641,1.6355871067896852,327.7705078125
Anand_Vihar,2023,12,15.357977766736358,73.38947556294288,1.8704967143513218,239.72019958496094
Anand_Vihar,2024,1,11.670779248614787,81.3510592072791,1.6918337641052286,211.21490478515625
Anand_Vihar,2024,2,15.898365125669503,64.42868522357585,2.4053198158958646,360.79998779296875
Anand_Vihar,2024,3,21.29344769875955,53.81290633246727,2.4687937948340406,464.6595153808594
Anand_Vihar,2024,4,28.2701413670982,31.42148667571213,2.6763426778696093,841.9074096679688
Anand_Vihar,2024,5,33.38678443018598,30.40572935216466,2.6614883039727006,942.8936157226562
Anand_Vihar,2024,6,34.472094600142896,41.59039108350347,2.9181830793393497,862.705322265625
Anand_Vihar,2024,7,30.179812574085332,79.74472511999106,1.8528291401731027,439.21173095703125
Anand_Vihar,2024,8,28.294239357401516,84.21074929800383,2.244050209244593,445.4423522949219
Anand_Vihar,2024,9,27.44719754758528,83.326980705333,1.8194691258986087,374.0152893066406
Anand_Vihar,2024,10,26.063802945261656,67.72628098731731,1.844563965757752,376.70208740234375
Anand_Vihar,2024,11,21.204408981438462,68.9846562594446,1.7109058153058891,349.6602783203125
Anand_Vihar,2024,12,14.489160926721226,67.42935903030283,2.2510144314703804,261.1800537109375
Anand_Vihar,2025,1,13.414477906542633,78.73297917823706,2.2575839684868315,220.74078369140625
Anand_Vihar,2025,2,17.512546404790463,63.250052784753194,2.541784152125974,339.7124328613281
Anand_Vihar,2025,3,22.199866067985923,49.32037523307346,2.6973433059716054,504.5127258300781
Anand_Vihar,2025,4,29.51492337965328,35.60241452263304,2.6089498939243168,784.476318359375
Anand_Vihar,2025,5,31.318710439040157,50.96404697563299,2.5838721307511645,762.3353881835938
Anand_Vihar,2025,6,31.26521894726402,64.22751251109554,2.1145099551925086,604.3180541992188
Anand_Vihar,2025,7,28.73975233519997,82.67541694488716,2.089084867004674,440.5146789550781
Anand_Vihar,2025,8,28.084613669047396,83.99745791869253,2.306120681391336,414.3418884277344
Anand_Vihar,2025,9,27.94411631788728,77.57356957917585,2.463596972438511,463.04071044921875
