station,year,month,road_density_100m,road_density_250m,road_density_500m,road_density_1000m,major_road_density_1000m
Mandir_Marg,2022,8,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2022,9,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2022,10,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2022,11,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2022,12,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2023,1,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2023,2,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2023,3,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2023,4,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2023,5,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2023,6,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2023,7,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2023,8,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2023,9,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2023,10,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2023,11,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2023,12,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2024,1,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2024,2,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2024,3,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2024,4,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2024,5,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2024,6,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2024,7,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2024,8,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2024,9,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2024,10,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2024,11,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2024,12,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2025,1,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2025,2,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2025,3,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2025,4,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2025,5,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2025,6,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2025,7,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2025,8,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2025,9,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2025,10,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2025,11,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mandir_Marg,2025,12,16.88431014540859,15.331841669267803,14.264546456570056,18.49882475276609,1.9802708045621251
Mundka,2022,1,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2022,2,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2022,3,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2022,4,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2022,5,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2022,6,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2022,7,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2022,8,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2022,9,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2022,10,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2022,11,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2022,12,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2023,1,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2023,2,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2023,3,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2023,4,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2023,5,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2023,6,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2023,7,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2023,8,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2023,9,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2023,10,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2023,11,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2023,12,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2024,1,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2024,2,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2024,3,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2024,4,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2024,5,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2024,6,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2024,7,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2024,8,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2024,9,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2024,10,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2024,11,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2024,12,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2025,1,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2025,2,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2025,3,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2025,4,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2025,5,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2025,6,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2025,7,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2025,8,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2025,9,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2025,10,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2025,11,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Mundka,2025,12,2.4276880722231406,5.096948461461948,20.66666001734977,27.65223522035551,1.2749257018131734
Najafgarh,2022,1,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2022,2,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2022,3,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2022,4,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2022,5,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2022,6,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2022,7,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2022,8,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2022,9,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2022,10,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2022,11,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2022,12,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2023,1,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2023,2,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2023,3,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2023,4,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2023,5,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2023,6,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2023,7,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2023,8,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2023,9,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2023,10,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2023,11,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2023,12,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2024,1,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2024,2,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2024,3,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2024,4,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2024,5,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2024,6,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2024,7,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2024,8,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2024,9,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2024,10,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2024,11,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2024,12,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2025,1,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2025,2,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2025,3,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2025,4,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2025,5,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2025,6,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2025,7,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2025,8,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2025,9,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2025,10,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2025,11,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Najafgarh,2025,12,14.163987733204126,11.043579337559478,10.269738693077391,5.523559830237777,0.0
Narela,2022,1,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2022,2,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2022,3,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2022,4,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2022,5,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2022,6,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2022,7,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2022,8,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2022,9,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2022,10,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2022,11,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2022,12,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2023,1,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2023,2,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2023,3,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2023,4,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2023,5,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2023,6,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2023,7,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2023,8,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2023,9,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2023,10,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2023,11,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2023,12,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2024,1,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2024,2,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2024,3,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2024,4,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2024,5,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2024,6,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2024,7,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2024,8,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2024,9,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2024,10,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2024,11,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2024,12,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2025,1,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2025,2,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2025,3,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2025,4,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2025,5,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2025,6,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2025,7,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2025,8,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2025,9,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2025,10,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2025,11,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Narela,2025,12,13.361645265568145,12.079497972687703,11.319571846934394,14.78276434197939,0.0
Nehru_Nagar,2022,1,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2022,2,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2022,3,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2022,4,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2022,5,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2022,6,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2022,7,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2022,8,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2022,9,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2022,10,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2022,11,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2022,12,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2023,1,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2023,2,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2023,3,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2023,4,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2023,5,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2023,6,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2023,7,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2023,8,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2023,9,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2023,10,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2023,11,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2023,12,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2024,1,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2024,2,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2024,3,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2024,4,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2024,5,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2024,6,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2024,7,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2024,8,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2024,9,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2024,10,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2024,11,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2024,12,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2025,1,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2025,2,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2025,3,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2025,4,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2025,5,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2025,6,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2025,7,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2025,8,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
Nehru_Nagar,2025,9,11.448899549565004,24.27662474410588,29.042207367283204,27.372174540693916,4.125346013160694
