station,latitude,longitude,year,month,buffer_m,modis_ndvi_mean,modis_ndvi_median,modis_ndvi_std,modis_evi_mean,modis_evi_median,modis_evi_std,source_dataset
Alipur,28.815329,77.15301,2022,1,100,0.5967786206896551,0.5829,0.027950000000000398,0.3260093103448276,0.31295,0.026299999999999636,MODIS/061/MOD13Q1
Alipur,28.815329,77.15301,2022,1,250,0.6320648723640401,0.6371,0.11131359260412668,0.35857674805771367,0.35615,0.06930095570003007,MODIS/061/MOD13Q1
Alipur,28.815329,77.15301,2022,1,500,0.6053568565109207,0.6119000000000001,0.12317451710283304,0.3574451617362455,0.35615,0.08810536273853734,MODIS/061/MOD13Q1
Alipur,28.815329,77.15301,2022,1,1000,0.5899046063535913,0.61185,0.13120741389732882,0.36225482734806635,0.35145000000000004,0.11744629808532213,MODIS/061/MOD13Q1
Anand_Vihar,28.647622,77.315809,2022,1,100,0.275406338028169,0.2745,0.0016499999999989117,0.1322,0.1331,0.0017253622807972316,MODIS/061/MOD13Q1
Anand_Vihar,28.647622,77.315809,2022,1,250,0.2783398895027625,0.2745,0.0408051173261388,0.13232519337016577,0.1331,0.020733665860141554,MODIS/061/MOD13Q1
Anand_Vihar,28.647622,77.315809,2022,1,500,0.3041107389980626,0.29810000000000003,0.054898055030435655,0.13912048159424303,0.13670000000000002,0.028530134633938095,MODIS/061/MOD13Q1
Anand_Vihar,28.647622,77.315809,2022,1,1000,0.32601664937041636,0.3154,0.05732377388207538,0.14993568562335688,0.1438,0.028047411900789913,MODIS/061/MOD13Q1
Ashok_Vihar,28.695381,77.181665,2022,1,100,0.29960000000000003,0.29960000000000003,0.0,0.13955,0.13955,0.0,MODIS/061/MOD13Q1
Ashok_Vihar,28.695381,77.181665,2022,1,250,0.3181179487179487,0.29960000000000003,0.02417832413598312,0.1467722408026756,0.13955,0.012079482144897149,MODIS/061/MOD13Q1
Ashok_Vihar,28.695381,77.181665,2022,1,500,0.3250233102493075,0.3236,0.04350504720410455,0.14861988919667593,0.14805000000000001,0.01902509488904572,MODIS/061/MOD13Q1
Ashok_Vihar,28.695381,77.181665,2022,1,1000,0.33082777508818045,0.3194631215469613,0.07790257290741663,0.15245413237429975,0.14768333333333336,0.03807289742883728,MODIS/061/MOD13Q1
Aya_Nagar,28.4706914,77.1099364,2022,1,100,0.54639375,0.5508000000000001,0.03524999999999984,0.23446875,0.23565000000000003,0.009449999999999957,MODIS/061/MOD13Q1
Aya_Nagar,28.4706914,77.1099364,2022,1,250,0.5164514364640884,0.51075,0.031324030336839566,0.22607552486187846,0.23155,0.013529453466829903,MODIS/061/MOD13Q1
Aya_Nagar,28.4706914,77.1099364,2022,1,500,0.5070215333517853,0.51075,0.05734388351201587,0.22335701632991975,0.22165,0.024943613684395405,MODIS/061/MOD13Q1
Aya_Nagar,28.4706914,77.1099364,2022,1,1000,0.49950984276511745,0.510375,0.07831839455750324,0.22141424118584196,0.22280961538461538,0.033351038845605495,MODIS/061/MOD13Q1
Bawana,28.7762,77.051074,2022,1,100,0.3995704225352113,0.435,0.058500000000000135,0.19427147887323945,0.21185,0.029025000000000082,MODIS/061/MOD13Q1
Bawana,28.7762,77.051074,2022,1,250,0.37220608407079653,0.3507,0.05230729775506918,0.1800920353982301,0.16395,0.034101002894893054,MODIS/061/MOD13Q1
Bawana,28.7762,77.051074,2022,1,500,0.3617686117256638,0.34215000000000007,0.10795239550839068,0.18559995851769914,0.16395,0.08000079409605892,MODIS/061/MOD13Q1
Bawana,28.7762,77.051074,2022,1,1000,0.38640373160113317,0.34840000000000004,0.15529566516666055,0.23035485799184577,0.17830000000000001,0.14093314783021543,MODIS/061/MOD13Q1
Burari_Crossing,28.7256504,77.2011573,2022,1,100,0.30947972027972026,0.29555000000000003,0.02043448372237453,0.16151433566433568,0.15760000000000002,0.005819256825403192,MODIS/061/MOD13Q1
Burari_Crossing,28.7256504,77.2011573,2022,1,250,0.306651931567329,0.29555000000000003,0.035602276612598745,0.16060507726269319,0.15760000000000002,0.015798421598375082,MODIS/061/MOD13Q1
Burari_Crossing,28.7256504,77.2011573,2022,1,500,0.304541009681881,0.29425,0.06068500247007829,0.1566802489626556,0.15705000000000002,0.029045017157753802,MODIS/061/MOD13Q1
Burari_Crossing,28.7256504,77.2011573,2022,1,1000,0.35882672449543823,0.33315000000000006,0.09074389702482737,0.1800921205418855,0.16975,0.05362959072553709,MODIS/061/MOD13Q1
Chandni_Chowk,28.656756,77.227234,2022,1,100,0.23049436619718308,0.2417,0.0345500602990308,0.09159014084507042,0.0964,0.014715147146921702,MODIS/061/MOD13Q1
Chandni_Chowk,28.656756,77.227234,2022,1,250,0.20595497787610617,0.2301,0.0838859988464651,0.08399059734513274,0.09090000000000001,0.043312354608453174,MODIS/061/MOD13Q1
Chandni_Chowk,28.656756,77.227234,2022,1,500,0.21550853624792474,0.1965,0.06440288434757686,0.09285361095738794,0.0858,0.031882115981702056,MODIS/061/MOD13Q1
Chandni_Chowk,28.656756,77.227234,2022,1,1000,0.2178950542989555,0.21635,0.06416280722820891,0.09405865670609391,0.09015000000000001,0.03038237043352156,MODIS/061/MOD13Q1
Commonwealth_Sports_Complex,28.615828,77.271992,2022,1,100,0.48090000000000005,0.48090000000000005,0.0,0.2439,0.2439,0.0,MODIS/061/MOD13Q1
Commonwealth_Sports_Complex,28.615828,77.271992,2022,1,250,0.4605166064981951,0.48090000000000005,0.046971181324297014,0.23537274368231048,0.2439,0.029319319569185046,MODIS/061/MOD13Q1
Commonwealth_Sports_Complex,28.615828,77.271992,2022,1,500,0.44217979618963227,0.44070000000000004,0.06344541706652684,0.22695875055383255,0.2321,0.035913082121361004,MODIS/061/MOD13Q1
Commonwealth_Sports_Complex,28.615828,77.271992,2022,1,1000,0.4447401382895253,0.43775000000000003,0.08183753216952291,0.23185541388779923,0.22905000000000003,0.043973349118440815,MODIS/061/MOD13Q1
DTU,28.7500499,77.1112615,2022,1,100,0.21263943661971835,0.20670000000000002,0.02504730524427707,0.10691197183098591,0.1033,0.015402171113190493,MODIS/061/MOD13Q1
DTU,28.7500499,77.1112615,2022,1,250,0.22429449944994503,0.20670000000000002,0.03326695657856321,0.11358602860286031,0.1033,0.021286730608526965,MODIS/061/MOD13Q1
DTU,28.7500499,77.1112615,2022,1,500,0.23972888336097303,0.2215,0.0577845018828144,0.12157526257600887,0.11380000000000001,0.033699914456932094,MODIS/061/MOD13Q1
DTU,28.7500499,77.1112615,2022,1,1000,0.313173934222345,0.27571752988047815,0.14794287736375406,0.16348132038969118,0.13932155009451797,0.11121860332796052,MODIS/061/MOD13Q1
Dr._Karni_Singh_Shooting_Range,28.498571,77.26484,2022,1,100,0.5321049645390071,0.526,0.02286060415260783,0.24716453900709223,0.2449,0.007138432756719956,MODIS/061/MOD13Q1
Dr._Karni_Singh_Shooting_Range,28.498571,77.26484,2022,1,250,0.5472527746947835,0.53945,0.02607463746152614,0.2560463374028857,0.25135,0.016271791878509093,MODIS/061/MOD13Q1
Dr._Karni_Singh_Shooting_Range,28.498571,77.26484,2022,1,500,0.5395455490848585,0.5386500000000001,0.03277252035985802,0.2560146977260122,0.25360000000000005,0.018418246018266467,MODIS/061/MOD13Q1
Dr._Karni_Singh_Shooting_Range,28.498571,77.26484,2022,1,1000,0.5046236455590964,0.526,0.07938896893778039,0.2440451884439517,0.25160000000000005,0.041689724120026916,MODIS/061/MOD13Q1
Dwarka-Sector_8,28.5710274,77.0719006,2022,1,100,0.34474758620689655,0.2955,0.04863169976694464,0.1752134482758621,0.14995,0.02464106779793094,MODIS/061/MOD13Q1
Dwarka-Sector_8,28.5710274,77.0719006,2022,1,250,0.33969072625698316,0.325,0.05843542494830443,0.1714245810055866,0.16755,0.0327222783436607,MODIS/061/MOD13Q1
Dwarka-Sector_8,28.5710274,77.0719006,2022,1,500,0.35397658807212196,0.33285000000000003,0.06826461583426661,0.17909022191400836,0.17200000000000001,0.0369620544443893,MODIS/061/MOD13Q1
Dwarka-Sector_8,28.5710274,77.0719006,2022,1,1000,0.3342622306813856,0.33285000000000003,0.07330605731555848,0.1700922382946327,0.17200000000000001,0.04034397175343319,MODIS/061/MOD13Q1
IGI_Airport_(T3),28.5627763,77.1180053,2022,1,100,,,,,,,MODIS/061/MOD13Q1
IGI_Airport_(T3),28.5627763,77.1180053,2022,1,250,,,,,,,MODIS/061/MOD13Q1
IGI_Airport_(T3),28.5627763,77.1180053,2022,1,500,0.1233525,0.0682,0.08682679597912155,0.06449333333333333,0.0374,0.04812520129828026,MODIS/061/MOD13Q1
IGI_Airport_(T3),28.5627763,77.1180053,2022,1,1000,0.244287489504618,0.2323,0.10790148678127365,0.12645628673383713,0.1158,0.05132090538552334,MODIS/061/MOD13Q1
IGNOU_Maidan_Garhi,28.493624,77.201159,2022,1,100,0.5293500000000001,0.54585,0.01800000000000129,0.26757708333333335,0.27749999999999997,0.010825000000000211,MODIS/061/MOD13Q1
IGNOU_Maidan_Garhi,28.493624,77.201159,2022,1,250,0.5282538461538461,0.5374,0.01449316649321539,0.2703463768115942,0.27645,0.00786745422214235,MODIS/061/MOD13Q1
IGNOU_Maidan_Garhi,28.493624,77.201159,2022,1,500,0.522250208217657,0.5306,0.058615238617827525,0.26807450027762353,0.27555,0.036241808092949315,MODIS/061/MOD13Q1
IGNOU_Maidan_Garhi,28.493624,77.201159,2022,1,1000,0.46160957181459145,0.49405,0.10050908126538138,0.23143434490403944,0.24640350877192985,0.05561873978903305,MODIS/061/MOD13Q1
IHBAS_Dilshad_Garden,28.6811736,77.3025234,2022,1,100,0.4470070422535211,0.46390000000000003,0.0678237421556785,0.19787112676056337,0.20225,0.033322934575904316,MODIS/061/MOD13Q1
IHBAS_Dilshad_Garden,28.6811736,77.3025234,2022,1,250,0.43111987818383174,0.46390000000000003,0.09184331800260917,0.19039933554817282,0.20225,0.0438024909094967,MODIS/061/MOD13Q1
IHBAS_Dilshad_Garden,28.6811736,77.3025234,2022,1,500,0.37945396847345136,0.4181,0.11003367649130384,0.1667747925884956,0.18180000000000002,0.05316521214674769,MODIS/061/MOD13Q1
IHBAS_Dilshad_Garden,28.6811736,77.3025234,2022,1,1000,0.29368248859078966,0.27285000000000004,0.11847906338322356,0.12718580763379897,0.11580000000000001,0.05463918134824717,MODIS/061/MOD13Q1
IIT_Delhi,28.54246,77.191651,2022,1,100,0.47669862068965524,0.47500000000000003,0.032031260772355886,0.23723689655172414,0.23785,0.010244537840018275,MODIS/061/MOD13Q1
IIT_Delhi,28.54246,77.191651,2022,1,250,0.4671220489977729,0.47500000000000003,0.07151592234207392,0.22801035634743883,0.23785,0.0311483923140505,MODIS/061/MOD13Q1
IIT_Delhi,28.54246,77.191651,2022,1,500,0.4548940670917661,0.47075,0.0727186130142694,0.22105410313279733,0.2303,0.03433516053503954,MODIS/061/MOD13Q1
