country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","04-08-2026 05:00:00",16.536107,80.594233,PM10,53,79,59
India,"Andhra Pradesh",Kadapa,"Yerramukkapalli, Kadapa - APPCB","04-08-2026 05:00:00",14.465052,78.824187,CO,14,21,18
India,"Andhra Pradesh",Kakinada,"Rama Rao Peta, Kakinada - APPCB","04-08-2026 05:00:00",16.962488,82.229513,SO2,10,13,11
India,"Andhra Pradesh",Kakinada,"Rama Rao Peta, Kakinada - APPCB","04-08-2026 05:00:00",16.962488,82.229513,OZONE,24,37,32
India,"Andhra Pradesh",Kurnool,"Sita Rama Nagar, Kurnool - APPCB","04-08-2026 05:00:00",15.83411,78.028546,NO2,24,31,27
India,"Andhra Pradesh",Kurnool,"Sita Rama Nagar, Kurnool - APPCB","04-08-2026 05:00:00",15.83411,78.028546,NH3,5,5,5
India,"Andhra Pradesh",Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","04-08-2026 05:00:00",16.186555,81.13219,PM10,57,211,78
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","04-08-2026 05:00:00",27.103358,93.679645,PM10,NA,NA,NA
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","04-08-2026 05:00:00",27.103358,93.679645,NO2,7,9,8
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","04-08-2026 05:00:00",27.103358,93.679645,OZONE,6,6,6
India,Assam,Guwahati,"IITG, Guwahati - PCBA","04-08-2026 05:00:00",26.2028636,91.70046436,CO,5,8,7
India,Assam,Guwahati,"IITG, Guwahati - PCBA","04-08-2026 05:00:00",26.2028636,91.70046436,OZONE,2,9,6
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","04-08-2026 05:00:00",26.1875,91.744194,SO2,38,41,40
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","04-08-2026 05:00:00",26.1875,91.744194,CO,14,19,17
India,"Andhra Pradesh",Anantapur,"Gulzarpet, Anantapur - APPCB","04-08-2026 05:00:00",14.675886,77.593027,SO2,11,19,13
India,"Andhra Pradesh",Anantapur,"Gulzarpet, Anantapur - APPCB","04-08-2026 05:00:00",14.675886,77.593027,CO,14,23,17
India,"Andhra Pradesh",Eluru,"District Court, Eluru - APPCB","04-08-2026 05:00:00",16.711754,81.092095,NO2,11,35,20
India,"Andhra Pradesh",Eluru,"District Court, Eluru - APPCB","04-08-2026 05:00:00",16.711754,81.092095,OZONE,10,23,17
India,"Andhra Pradesh",Guntur,"Rajendra Nagar North, Guntur - APPCB","04-08-2026 05:00:00",16.316553,80.413302,PM10,43,65,52
