station,latitude,longitude,year,month,buffer_m,modis_lst_day_mean_c,modis_lst_day_median_c,modis_lst_day_std_c,modis_lst_night_mean_c,modis_lst_night_median_c,modis_lst_night_std_c,modis_lst_diurnal_range_mean_c,modis_lst_diurnal_range_median_c,source_dataset
Alipur,28.815329,77.15301,2022,1,100,17.2566666666667,17.2566666666667,0.0,8.815000000000026,8.815000000000026,0.0,8.146666666666667,8.146666666666667,MODIS/061/MOD11A2
Alipur,28.815329,77.15301,2022,1,250,17.2566666666667,17.2566666666667,0.0,8.815000000000026,8.815000000000026,0.0,8.146666666666667,8.146666666666667,MODIS/061/MOD11A2
Alipur,28.815329,77.15301,2022,1,500,17.23358518518522,17.2566666666667,0.2431905974058601,8.765333333333363,8.815000000000026,0.29988539477608184,8.175081481481481,8.146666666666667,MODIS/061/MOD11A2
Alipur,28.815329,77.15301,2022,1,1000,17.214237037037066,17.2566666666667,0.4853304843220486,8.71396111111114,8.815000000000026,0.35542184986016745,8.247351851851851,8.173333333333327,MODIS/061/MOD11A2
Anand_Vihar,28.647622,77.315809,2022,1,100,18.156666666666695,18.156666666666695,0.0,10.880000000000024,10.880000000000024,0.0,7.080000000000003,7.080000000000003,MODIS/061/MOD11A2
Anand_Vihar,28.647622,77.315809,2022,1,250,18.298848484848513,18.156666666666695,0.34877917595562236,10.772272727272755,10.880000000000024,0.12743189902411675,7.244000000000009,7.080000000000003,MODIS/061/MOD11A2
Anand_Vihar,28.647622,77.315809,2022,1,500,18.417170370370403,18.460000000000036,0.3020899424564058,10.746555555555586,10.805000000000035,0.11908505363817551,7.41200000000001,7.420000000000016,MODIS/061/MOD11A2
Anand_Vihar,28.647622,77.315809,2022,1,1000,18.46077321494639,18.460000000000036,0.3146936586038582,10.748140954495035,10.805000000000035,0.14935277031251692,7.483973362930085,7.420000000000016,MODIS/061/MOD11A2
Ashok_Vihar,28.695381,77.181665,2022,1,100,17.960000000000008,17.960000000000008,0.0,11.105000000000032,11.105000000000032,0.0,7.019999999999982,7.019999999999982,MODIS/061/MOD11A2
Ashok_Vihar,28.695381,77.181665,2022,1,250,17.97810344827587,17.960000000000008,0.07500000000043959,11.101982758620721,11.105000000000032,0.01249999999956799,6.980574712643662,7.019999999999982,MODIS/061/MOD11A2
Ashok_Vihar,28.695381,77.181665,2022,1,500,17.994152046783643,17.960000000000008,0.09917366922044772,11.103421052631608,11.105000000000032,0.03764555086607428,6.870321637426895,7.019999999999982,MODIS/061/MOD11A2
Ashok_Vihar,28.695381,77.181665,2022,1,1000,18.005020213156953,17.960000000000008,0.10490653909273098,11.104520396912925,11.105000000000032,0.07615516643671298,6.739294377067261,6.693333333333347,MODIS/061/MOD11A2
Aya_Nagar,28.4706914,77.1099364,2022,1,100,17.383333333333365,17.383333333333365,0.0,9.950000000000031,9.950000000000031,0.0,7.293333333333332,7.293333333333332,MODIS/061/MOD11A2
Aya_Nagar,28.4706914,77.1099364,2022,1,250,17.352807017543896,17.383333333333365,0.09666666666655606,9.879736842105297,9.950000000000031,0.2224999999999847,7.329122807017543,7.293333333333332,MODIS/061/MOD11A2
Aya_Nagar,28.4706914,77.1099364,2022,1,500,17.290176991150474,17.383333333333365,0.1789475404192818,9.76431415929207,9.950000000000031,0.2959597734490165,7.378230088495575,7.293333333333332,MODIS/061/MOD11A2
Aya_Nagar,28.4706914,77.1099364,2022,1,1000,17.23713178294577,17.190000000000037,0.3507917631745167,9.682746400885966,9.505000000000038,0.3691835375189351,7.403396087117021,7.440000000000016,MODIS/061/MOD11A2
Bawana,28.7762,77.051074,2022,1,100,17.140000000000015,17.140000000000015,0.0,8.93500000000003,8.93500000000003,0.0,8.319999999999993,8.319999999999993,MODIS/061/MOD11A2
Bawana,28.7762,77.051074,2022,1,250,17.140000000000015,17.140000000000015,0.0,8.93500000000003,8.93500000000003,0.0,8.319999999999993,8.319999999999993,MODIS/061/MOD11A2
Bawana,28.7762,77.051074,2022,1,500,17.073830409356745,17.140000000000015,0.3095426734177722,8.841732456140384,8.93500000000003,0.15154929066149012,8.348903508771924,8.319999999999993,MODIS/061/MOD11A2
Bawana,28.7762,77.051074,2022,1,1000,16.923553840499842,17.00000000000003,0.36113485202102175,8.788925027563431,8.845000000000027,0.2866515930576019,8.17967658948915,8.319999999999993,MODIS/061/MOD11A2
Burari_Crossing,28.7256504,77.2011573,2022,1,100,18.30592592592596,18.50000000000003,0.2183333333332527,10.344444444444479,10.340000000000032,0.004999999999372448,7.793703703703697,8.049999999999983,MODIS/061/MOD11A2
Burari_Crossing,28.7256504,77.2011573,2022,1,250,18.289195402298887,18.50000000000003,0.2183333333332527,10.34482758620693,10.340000000000032,0.004999999999372448,7.771609195402292,8.049999999999983,MODIS/061/MOD11A2
Burari_Crossing,28.7256504,77.2011573,2022,1,500,18.26211453744497,18.156666666666712,0.16655621340051624,10.413678414096946,10.350000000000037,0.2000312475589474,7.650528634361233,7.473333333333339,MODIS/061/MOD11A2
Burari_Crossing,28.7256504,77.2011573,2022,1,1000,18.230604719764045,18.156666666666712,0.20511812314944203,10.502433628318611,10.350000000000037,0.1903477081553961,7.503289085545727,7.473333333333339,MODIS/061/MOD11A2
Chandni_Chowk,28.656756,77.227234,2022,1,100,18.29000000000002,18.29000000000002,0.0,10.980000000000032,10.980000000000032,0.0,6.999999999999981,6.999999999999981,MODIS/061/MOD11A2
Chandni_Chowk,28.656756,77.227234,2022,1,250,18.286025641025663,18.29000000000002,0.15811388300852683,11.084807692307727,10.980000000000032,0.14959842078045538,6.872948717948705,6.999999999999981,MODIS/061/MOD11A2
Chandni_Chowk,28.656756,77.227234,2022,1,500,18.27923547400614,18.29000000000002,0.15811388300852683,11.088050458715632,10.980000000000032,0.14959842078045538,6.865229357798154,6.999999999999981,MODIS/061/MOD11A2
Chandni_Chowk,28.656756,77.227234,2022,1,1000,18.26699401421626,18.29000000000002,0.18139013466090656,11.096335578002279,10.980000000000032,0.18163374225767495,6.845450804339684,6.999999999999981,MODIS/061/MOD11A2
Commonwealth_Sports_Complex,28.615828,77.271992,2022,1,100,17.203333333333376,17.203333333333376,0.0,9.960000000000036,9.960000000000036,0.0,7.24666666666667,7.24666666666667,MODIS/061/MOD11A2
Commonwealth_Sports_Complex,28.615828,77.271992,2022,1,250,17.24678160919544,17.203333333333376,0.08999999999975697,9.838103448275897,9.960000000000036,0.2524999999999946,7.436551724137935,7.24666666666667,MODIS/061/MOD11A2
Commonwealth_Sports_Complex,28.615828,77.271992,2022,1,500,17.269359534206732,17.203333333333376,0.08999999999975697,9.774759825327545,9.960000000000036,0.2524999999999946,7.535225618631738,7.24666666666667,MODIS/061/MOD11A2
Commonwealth_Sports_Complex,28.615828,77.271992,2022,1,1000,17.274107799852867,17.285000000000025,0.43362668133486276,9.80287527593822,9.930000000000035,0.4947938840106237,7.486079838116267,7.24666666666667,MODIS/061/MOD11A2
DTU,28.7500499,77.1112615,2022,1,100,18.26428571428574,18.30000000000004,0.041666666666363504,9.885714285714318,9.830000000000041,0.0650000000000404,8.382857142857135,8.629999999999995,MODIS/061/MOD11A2
DTU,28.7500499,77.1112615,2022,1,250,18.260784313725516,18.30000000000004,0.041666666666363504,9.891176470588267,9.830000000000041,0.0650000000000404,8.358627450980384,8.629999999999995,MODIS/061/MOD11A2
DTU,28.7500499,77.1112615,2022,1,500,18.259480122324184,18.30000000000004,0.041666666666363504,9.89321100917434,9.830000000000041,0.0650000000000404,8.349602446483171,8.629999999999995,MODIS/061/MOD11A2
DTU,28.7500499,77.1112615,2022,1,1000,18.18496271439227,18.21666666666668,0.39689922279536416,9.974714765100702,9.960000000000022,0.46043966760041904,8.154701715137955,8.053333333333322,MODIS/061/MOD11A2
Dr._Karni_Singh_Shooting_Range,28.498571,77.26484,2022,1,100,17.01095238095242,17.036666666666708,0.09000000000007276,9.657857142857186,9.635000000000048,0.07999999999999559,7.237142857142853,7.279999999999991,MODIS/061/MOD11A2
Dr._Karni_Singh_Shooting_Range,28.498571,77.26484,2022,1,250,16.982327044025197,17.036666666666708,0.09000000000007276,9.683301886792492,9.635000000000048,0.07999999999999559,7.189433962264151,7.279999999999991,MODIS/061/MOD11A2
Dr._Karni_Singh_Shooting_Range,28.498571,77.26484,2022,1,500,16.963848484848523,17.036666666666708,0.09000000000007276,9.699727272727309,9.635000000000048,0.07999999999999559,7.158636363636366,7.279999999999991,MODIS/061/MOD11A2
Dr._Karni_Singh_Shooting_Range,28.498571,77.26484,2022,1,1000,17.03552444942146,17.036666666666708,0.4058583344645214,9.610128779395325,9.635000000000048,0.35880545985908546,7.350156774916019,7.279999999999991,MODIS/061/MOD11A2
Dwarka-Sector_8,28.5710274,77.0719006,2022,1,100,16.86333333333336,16.86333333333336,0.0,10.475000000000037,10.475000000000037,0.0,6.646666666666666,6.646666666666666,MODIS/061/MOD11A2
Dwarka-Sector_8,28.5710274,77.0719006,2022,1,250,16.86333333333336,16.86333333333336,0.0,10.475000000000037,10.475000000000037,0.0,6.646666666666666,6.646666666666666,MODIS/061/MOD11A2
Dwarka-Sector_8,28.5710274,77.0719006,2022,1,500,16.96772925764195,16.86333333333336,0.5433333333333632,10.454344978165974,10.475000000000037,0.10750000000005754,6.740174672489082,6.646666666666666,MODIS/061/MOD11A2
Dwarka-Sector_8,28.5710274,77.0719006,2022,1,1000,17.02387298091045,16.86333333333336,0.5490148303558292,10.38628854625553,10.26000000000002,0.32007040120636704,6.794867841409692,6.73333333333333,MODIS/061/MOD11A2
IGI_Airport_(T3),28.5627763,77.1180053,2022,1,100,19.56000000000003,19.56000000000003,0.0,9.995000000000033,9.995000000000033,0.0,9.569999999999993,9.569999999999993,MODIS/061/MOD11A2
IGI_Airport_(T3),28.5627763,77.1180053,2022,1,250,19.56000000000003,19.56000000000003,0.0,9.995000000000033,9.995000000000033,0.0,9.569999999999993,9.569999999999993,MODIS/061/MOD11A2
IGI_Airport_(T3),28.5627763,77.1180053,2022,1,500,19.27699115044251,19.56000000000003,0.6166756756098581,9.970575221238974,9.995000000000033,0.0702772288076803,9.342212389380522,9.569999999999993,MODIS/061/MOD11A2
IGI_Airport_(T3),28.5627763,77.1180053,2022,1,1000,19.006234772978985,18.940000000000026,0.7929005978208759,9.977696566998928,9.995000000000033,0.08644201653256395,9.130509413067545,8.969999999999999,MODIS/061/MOD11A2
IGNOU_Maidan_Garhi,28.493624,77.201159,2022,1,100,16.913333333333366,16.913333333333362,0.11666666666693844,8.707500000000032,8.707500000000032,0.0625,8.26333333333333,8.263333333333332,MODIS/061/MOD11A2
IGNOU_Maidan_Garhi,28.493624,77.201159,2022,1,250,16.87654970760237,16.7966666666667,0.12895951130332992,8.769210526315819,8.770000000000024,0.1665270248338155,8.168304093567249,8.193333333333328,MODIS/061/MOD11A2
IGNOU_Maidan_Garhi,28.493624,77.201159,2022,1,500,16.84756240822323,16.7966666666667,0.12895951130332992,8.800088105726903,8.770000000000024,0.1665270248338155,8.108928046989721,8.193333333333328,MODIS/061/MOD11A2
IGNOU_Maidan_Garhi,28.493624,77.201159,2022,1,1000,16.827586460632848,16.7966666666667,0.1464881489324698,8.812577262693186,8.770000000000024,0.3025161152732222,8.067086092715233,8.193333333333328,MODIS/061/MOD11A2
IHBAS_Dilshad_Garden,28.6811736,77.3025234,2022,1,100,18.443333333333346,18.443333333333346,0.0,11.390000000000015,11.390000000000015,0.0,6.693333333333328,6.693333333333328,MODIS/061/MOD11A2
IHBAS_Dilshad_Garden,28.6811736,77.3025234,2022,1,250,18.443333333333346,18.443333333333346,0.0,11.390000000000015,11.390000000000015,0.0,6.693333333333328,6.693333333333328,MODIS/061/MOD11A2
IHBAS_Dilshad_Garden,28.6811736,77.3025234,2022,1,500,18.293069016152735,18.443333333333346,0.36152743095558704,11.447995594713678,11.390000000000015,0.08539430601634614,6.505066079295151,6.693333333333328,MODIS/061/MOD11A2
IHBAS_Dilshad_Garden,28.6811736,77.3025234,2022,1,1000,18.207869757174418,18.443333333333346,0.3435143131418175,11.428697571743957,11.515000000000029,0.21984369447409252,6.5029764532744645,6.626666666666665,MODIS/061/MOD11A2
IIT_Delhi,28.54246,77.191651,2022,1,100,17.033333333333378,16.99666666666671,0.10999999999988797,10.57083333333336,10.550000000000026,0.06249999999988631,6.337777777777789,6.320000000000012,MODIS/061/MOD11A2
IIT_Delhi,28.54246,77.191651,2022,1,250,17.07266666666671,16.99666666666671,0.10999999999988797,10.593181818181847,10.550000000000026,0.06249999999988631,6.356848484848496,6.320000000000012,MODIS/061/MOD11A2
IIT_Delhi,28.54246,77.191651,2022,1,500,17.0990178571429,16.99666666666671,0.21052843566180357,10.59812500000003,10.550000000000026,0.07300470875220588,6.387886904761915,6.320000000000012,MODIS/061/MOD11A2
