year,total,train,test,train_fraction,test_fraction
2022,404,323,81,0.7995049504950495,0.2004950495049505
2023,402,322,80,0.8009950248756219,0.19900497512437812
2024,401,320,81,0.7980049875311721,0.20199501246882792
2025,408,327,81,0.8014705882352942,0.19852941176470587
