station,year,month,pm25
Aya_Nagar,2025,6,46.21
Aya_Nagar,2025,7,22.33
Aya_Nagar,2025,8,28.15
Aya_Nagar,2025,9,28.36
Aya_Nagar,2025,10,90.77
Aya_Nagar,2025,11,171.86
Aya_Nagar,2025,12,147.25
Bawana,2022,1,155.22
Bawana,2022,2,123.21
Bawana,2022,3,127.44
Bawana,2022,4,151.96
Bawana,2022,5,88.41
Bawana,2022,6,72.6
Bawana,2022,7,43.53
Bawana,2022,8,38.08
Bawana,2022,9,46.77
Bawana,2022,10,122.23
Bawana,2022,11,218.53
Bawana,2022,12,190.43
Bawana,2023,1,178.08
Bawana,2023,2,133.55
Bawana,2023,3,95.88
Bawana,2023,4,93.55
Bawana,2023,5,82.13
Bawana,2023,6,52.15
Bawana,2023,7,38.23
Bawana,2023,8,41.87
Bawana,2023,9,51.85
Bawana,2023,10,149.33
Bawana,2023,11,307.15
Bawana,2023,12,226.35
Bawana,2024,1,206.42
Bawana,2024,2,123.78
Bawana,2024,3,103.35
Bawana,2024,4,93.35
Bawana,2024,5,109.17
Bawana,2024,6,67.34
Bawana,2024,7,42.37
Bawana,2024,8,33.28
Bawana,2024,9,52.26
Bawana,2024,10,141.36
Bawana,2024,11,306.53
Bawana,2024,12,218.27
Bawana,2025,1,199.48
Bawana,2025,2,123.94
Bawana,2025,3,104.44
Bawana,2025,4,107.47
Bawana,2025,5,79.29
Bawana,2025,6,58.55
Bawana,2025,7,32.88
Bawana,2025,8,38.36
Bawana,2025,9,48.78
Bawana,2025,10,145.37
Bawana,2025,11,291.96
Bawana,2025,12,248.83
Burari_Crossing,2022,1,112.3
Burari_Crossing,2022,2,94.28
Burari_Crossing,2022,3,92.81
Burari_Crossing,2022,4,119.63
Burari_Crossing,2022,5,71.2
Burari_Crossing,2022,6,89.29
Burari_Crossing,2022,8,60.51
Burari_Crossing,2022,9,66.77
Burari_Crossing,2022,10,204.46
Burari_Crossing,2022,11,190.67
Burari_Crossing,2022,12,184.22
Burari_Crossing,2023,1,158.45
Burari_Crossing,2023,2,108.88
Burari_Crossing,2023,3,68.33
Burari_Crossing,2023,4,71.08
Burari_Crossing,2023,5,52.23
Burari_Crossing,2023,6,37.72
Burari_Crossing,2023,7,32.21
Burari_Crossing,2023,8,44.1
Burari_Crossing,2023,9,39.19
Burari_Crossing,2023,10,119.58
Burari_Crossing,2023,11,226.82
Burari_Crossing,2023,12,206.2
Burari_Crossing,2024,1,183.95
Burari_Crossing,2024,2,90.71
Burari_Crossing,2024,3,74.58
Burari_Crossing,2024,4,81.91
Burari_Crossing,2024,5,92.7
Burari_Crossing,2024,6,63.97
Burari_Crossing,2024,7,36.06
Burari_Crossing,2024,8,40.4
Burari_Crossing,2024,9,47.56
Burari_Crossing,2024,10,136.66
Burari_Crossing,2024,11,249.52
Burari_Crossing,2024,12,189.29
Burari_Crossing,2025,1,151.23
Burari_Crossing,2025,2,80.19
Burari_Crossing,2025,3,68.4
Burari_Crossing,2025,4,66.52
Burari_Crossing,2025,5,64.35
Burari_Crossing,2025,6,44.07
Burari_Crossing,2025,7,28.15
Burari_Crossing,2025,8,32.01
Burari_Crossing,2025,9,29.48
Burari_Crossing,2025,10,120.25
Burari_Crossing,2025,11,246.14
Burari_Crossing,2025,12,201.77
CPRI_Mathura_Road,2022,1,104.95
CPRI_Mathura_Road,2022,2,96.29
CPRI_Mathura_Road,2022,3,102.99
CPRI_Mathura_Road,2022,4,109.25
CPRI_Mathura_Road,2022,5,71.49
CPRI_Mathura_Road,2022,6,58.91
CPRI_Mathura_Road,2022,7,30.62
CPRI_Mathura_Road,2022,8,31.27
CPRI_Mathura_Road,2022,9,36.62
CPRI_Mathura_Road,2022,10,98.83
