split,season,rows,mean_pm25,median_pm25
test,Monsoon,2,32.370000000000005,32.370000000000005
test,Post-monsoon,261,167.987969348659,140.25
test,Summer,4,75.17750000000001,83.91
test,Winter,56,160.3117857142857,158.225
train,Monsoon,399,36.406140350877195,35.33
train,Post-monsoon,6,129.10166666666666,141.395
train,Summer,538,73.08942379182156,70.15
train,Winter,349,158.94501432664757,160.41
