feature,importance,model
sentinel2_ndvi_median_1000m,0.0008529842108332271,Random Forest
sentinel2_ndwi_median_1000m,0.0008257406186664001,Random Forest
modis_ndvi_std_1000m,0.0008253700086208237,Random Forest
sentinel2_ndvi_min_500m,0.0008182557009515164,Random Forest
sentinel2_ndvi_max_500m,0.0007976272832049732,Random Forest
gradient_ndvi_1000_100,0.0007952609811026494,Random Forest
sentinel2_ndwi_mean_500m,0.0007810459670788307,Random Forest
modis_evi_std_500m,0.0007513357405343359,Random Forest
sentinel2_ndvi_std_100m,0.0007195385508717998,Random Forest
longitude,0.0007186938641917386,Random Forest
modis_ndvi_std_250m,0.0007181882184567827,Random Forest
s5p_valid_obs_count_1000m,0.0007166994106247486,Random Forest
worldcover_2021_cropland_frac_250m,0.0007158525023993536,Random Forest
sentinel2_ndvi_max_250m,0.000712742452043426,Random Forest
sentinel2_ndwi_std_100m,0.0007004975341831126,Random Forest
sentinel2_ndwi_std_1000m,0.000693158624495284,Random Forest
s5p_no2_total_std_1000m,0.0006692369284409139,Random Forest
worldpop_density_500m,0.0006683585184881522,Random Forest
modis_evi_std_250m,0.000666761325764647,Random Forest
worldpop_density_250m,0.0006652181744991471,Random Forest
worldpop_density_1000m,0.0006617029435882895,Random Forest
sentinel2_ndwi_std_500m,0.0006552071235996855,Random Forest
sentinel2_valid_pixels_100m,0.0006525514232481372,Random Forest
sentinel2_ndvi_std_1000m,0.0006490309410964673,Random Forest
major_road_density_1000m,0.0006444999661557302,Random Forest
modis_lst_night_std_c_500m,0.0006409293927900932,Random Forest
sentinel2_ndvi_median_100m,0.0006363761778510604,Random Forest
sentinel2_ndvi_std_500m,0.0006345730535998528,Random Forest
sentinel2_ndvi_max_100m,0.000633418081197825,Random Forest
sentinel2_ndwi_std_250m,0.0006269675897065811,Random Forest
road_density_100m,0.0006227058177583516,Random Forest
modis_ndvi_std_100m,0.0006211994349182893,Random Forest
sentinel2_ndvi_mean_100m,0.0006136827429201739,Random Forest
modis_lst_day_std_c_250m,0.0006016294591017938,Random Forest
modis_ndvi_std_500m,0.0005824988077498225,Random Forest
worldcover_2021_cropland_frac_1000m,0.0005745200935683059,Random Forest
