model,train_r2,test_r2,train_mae,test_mae,train_rmse,test_rmse,abs_r2_gap,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std
Ridge,0.8521911630992571,-1.3076585642748886,19.09665242684265,26.314869157331902,25.772323426445066,103.91285041778518,2.1598497273741457,0.820221407088803,0.02517334026204967,28.32845554429351,2.49767485847955
Random Forest,0.9774200953914298,0.9198136518284987,6.101613686377695,12.697456456149531,10.073129667203798,19.370181928712224,0.0576064435629311,0.888683580675545,0.020318876276859858,22.267005441850756,2.4003463581951276
LightGBM,0.9963011380101436,0.9577650345299886,2.177141612244477,9.303243746571189,4.076969258510794,14.057870999859585,0.038536103480155015,0.9316782381173029,0.02197898902530189,17.351038796393357,2.998028722644413
