model,train_rows,test_rows,train_r2,test_r2,overfitting_indicator_abs_r2_gap,train_mae,test_mae,train_rmse,test_rmse,cv_r2_mean,cv_r2_std,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std
Ridge,1292,323,0.8682187313378015,-0.1472645934803143,1.0154833248181157,15.155105228513118,53.69070709874191,20.82158050809993,71.43776578302452,0.6647613628087907,0.3737659578452441,17.53505159187514,1.661338123697253,30.41487826954816,16.19215877597816
LightGBM,1292,323,0.9976870182083328,-0.2904644186324439,1.2881514368407767,1.5281056056974538,52.03103059537253,2.7584998035694173,75.76507986881842,0.929347726024842,0.03075516422531494,9.430014703397347,1.232253757626445,14.922820796741027,3.4572676792163892
Random Forest,1292,323,0.9806300475429138,-0.49836179327459385,1.4789918408175078,4.823333045326869,63.399790453826675,7.982724254471288,81.64026643537093,0.9025888118526104,0.034832846286783355,11.584434705280549,1.4100630307643798,17.637452147033944,3.170625901720198
